survey_id,parliament_id,parliament,parliament_shortcut,pollster,tasker,method,published_date,fieldwork_start,fieldwork_end,sample_size,party_id,party,party_name,pct,source
411,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-02-28,2017-02-24,2017-02-27,2004,7,AfD,Alternative für Deutschland,11.0,DAWUM
412,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-03-01,2017-02-20,2017-02-24,2500,7,AfD,Alternative für Deutschland,9.0,DAWUM
413,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-03-05,2017-02-23,2017-03-01,1403,7,AfD,Alternative für Deutschland,10.0,DAWUM
416,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-03-07,2017-03-03,2017-03-06,2022,7,AfD,Alternative für Deutschland,11.0,DAWUM
417,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-03-07,2017-03-02,2017-03-06,5006,7,AfD,Alternative für Deutschland,9.4,DAWUM
419,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-03-08,2017-02-27,2017-03-03,2502,7,AfD,Alternative für Deutschland,8.0,DAWUM
420,0,Bundestag,Bundestag,Ipsos,Ipsos,Unbekannt,2017-03-08,2017-03-03,2017-03-06,1058,7,AfD,Alternative für Deutschland,11.0,DAWUM
421,0,Bundestag,Bundestag,Infratest dimap,ARD-Tagesthemen,Unbekannt,2017-03-09,2017-03-06,2017-03-08,1502,7,AfD,Alternative für Deutschland,11.0,DAWUM
425,0,Bundestag,Bundestag,Forschungsgruppe Wahlen,ZDF-Politbarometer,Unbekannt,2017-03-10,2017-03-07,2017-03-09,1212,7,AfD,Alternative für Deutschland,9.0,DAWUM
426,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-03-12,2017-03-02,2017-03-08,1882,7,AfD,Alternative für Deutschland,8.0,DAWUM
427,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-03-14,2017-03-10,2017-03-13,2051,7,AfD,Alternative für Deutschland,11.5,DAWUM
428,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-03-14,2017-03-08,2017-03-13,5017,7,AfD,Alternative für Deutschland,10.3,DAWUM
429,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-03-15,2017-03-06,2017-03-10,2505,7,AfD,Alternative für Deutschland,9.0,DAWUM
434,0,Bundestag,Bundestag,Verian (Emnid),BILD am Sonntag,Unbekannt,2017-03-19,2017-03-09,2017-03-15,1832,7,AfD,Alternative für Deutschland,9.0,DAWUM
436,0,Bundestag,Bundestag,INSA,BILD,Unbekannt,2017-03-21,2017-03-17,2017-03-20,1933,7,AfD,Alternative für Deutschland,11.5,DAWUM
437,0,Bundestag,Bundestag,Civey,Spiegel Online,Unbekannt,2017-03-21,2017-03-19,2017-03-21,5030,7,AfD,Alternative für Deutschland,10.0,DAWUM
438,0,Bundestag,Bundestag,Forsa,Stern / RTL,Unbekannt,2017-03-22,2017-03-13,2017-03-17,2504,7,AfD,Alternative für Deutschland,9.0,DAWUM
