shock_label,shock_month,indicator,window_months,pre_mean,post_mean,change_post_minus_pre,shock_month_value,n_months_pre,n_months_post
Cologne,2016-01,n_articles_text_indicators,3,88.66666666666667,73.33333333333333,-15.333333333333343,160.0,3,3
Cologne,2016-01,migration_terms_per_1000_mean,3,32.70205829757178,34.262948615382186,1.5608903178104043,20.690985758945416,3,3
Cologne,2016-01,security_terms_per_1000_mean,3,2.882604090276976,3.2241128299215105,0.34150873964453465,16.113944918402456,3,3
Cologne,2016-01,afd_far_right_terms_per_1000_mean,3,0.9210073424880258,0.9549980588123451,0.03399071632431927,1.0616179886829322,3,3
Cologne,2016-01,remigration_democracy_terms_per_1000_mean,3,0.36782623530690195,0.6719507709273089,0.304124535620407,0.24402731565222918,3,3
Cologne,2016-01,negative_threat_terms_per_1000_mean,3,4.026024813639351,3.411754613941106,-0.6142701996982449,5.323650417243142,3,3
Cologne,2016-01,n_articles_text_indicators,6,86.33333333333333,59.5,-26.83333333333333,160.0,6,6
Cologne,2016-01,migration_terms_per_1000_mean,6,34.559517920249505,32.86120810761829,-1.6983098126312157,20.690985758945416,6,6
Cologne,2016-01,security_terms_per_1000_mean,6,2.8474379404747054,3.409287046452705,0.5618491059779998,16.113944918402456,6,6
Cologne,2016-01,afd_far_right_terms_per_1000_mean,6,0.806665652326796,0.9447398953579668,0.13807424303117077,1.0616179886829322,6,6
Cologne,2016-01,remigration_democracy_terms_per_1000_mean,6,0.351435240563547,0.502293084175866,0.15085784361231902,0.24402731565222918,6,6
Cologne,2016-01,negative_threat_terms_per_1000_mean,6,3.8382863107231593,3.446632019093195,-0.3916542916299641,5.323650417243142,6,6
Chemnitz,2018-08,n_articles_text_indicators,3,57.666666666666664,117.0,59.333333333333336,158.0,3,3
Chemnitz,2018-08,migration_terms_per_1000_mean,3,30.256968984310813,23.366048959691643,-6.89092002461917,16.69712663333129,3,3
Chemnitz,2018-08,security_terms_per_1000_mean,3,5.187017700875638,7.404338814463441,2.2173211135878024,14.12861791247431,3,3
Chemnitz,2018-08,afd_far_right_terms_per_1000_mean,3,1.772015461534571,4.10820256968507,2.336187108150499,7.60462078757623,3,3
Chemnitz,2018-08,remigration_democracy_terms_per_1000_mean,3,0.7200257205420927,1.7692695177147575,1.049243797172665,1.4725518470734458,3,3
Chemnitz,2018-08,negative_threat_terms_per_1000_mean,3,4.716825461454161,4.515309510086948,-0.20151595136721312,7.337937318768238,3,3
Chemnitz,2018-08,n_articles_text_indicators,6,63.5,86.0,22.5,158.0,6,6
Chemnitz,2018-08,migration_terms_per_1000_mean,6,26.33753467101069,24.488927658432193,-1.8486070125784977,16.69712663333129,6,6
Chemnitz,2018-08,security_terms_per_1000_mean,6,5.312036431623686,5.7680462654841,0.4560098338604135,14.12861791247431,6,6
Chemnitz,2018-08,afd_far_right_terms_per_1000_mean,6,1.5224228838406617,2.3895643422989674,0.8671414584583057,7.60462078757623,6,6
Chemnitz,2018-08,remigration_democracy_terms_per_1000_mean,6,0.5084793086988437,0.9687100513134358,0.46023074261459207,1.4725518470734458,6,6
Chemnitz,2018-08,negative_threat_terms_per_1000_mean,6,4.51044906129365,3.876130541852462,-0.6343185194411878,7.337937318768238,6,6
Correctiv,2024-01,n_articles_text_indicators,3,55.333333333333336,67.0,11.666666666666664,201.0,3,3
Correctiv,2024-01,migration_terms_per_1000_mean,3,28.846290792035106,18.17694697550607,-10.669343816529036,9.742081881209826,3,3
Correctiv,2024-01,security_terms_per_1000_mean,3,2.3082594971864094,5.470566664665147,3.1623071674787373,4.1080731501302825,3,3
Correctiv,2024-01,afd_far_right_terms_per_1000_mean,3,0.7410738930293986,4.84427594850531,4.103202055475911,18.249245580800878,3,3
Correctiv,2024-01,remigration_democracy_terms_per_1000_mean,3,0.5383370757397697,4.016913442401138,3.478576366661368,15.842675140454071,3,3
Correctiv,2024-01,negative_threat_terms_per_1000_mean,3,3.3912061043864985,3.5790188246789825,0.18781272029248397,4.0926569708476785,3,3
Correctiv,2024-01,n_articles_text_indicators,6,61.166666666666664,65.5,4.333333333333336,201.0,6,6
Correctiv,2024-01,migration_terms_per_1000_mean,6,27.812164782841226,20.335169838758784,-7.476994944082442,9.742081881209826,6,6
Correctiv,2024-01,security_terms_per_1000_mean,6,2.2449163044416145,4.740383214524308,2.4954669100826936,4.1080731501302825,6,6
Correctiv,2024-01,afd_far_right_terms_per_1000_mean,6,1.160822912251693,2.884524388658612,1.7237014764069187,18.249245580800878,6,6
Correctiv,2024-01,remigration_democracy_terms_per_1000_mean,6,0.48052945391802987,2.3181939000403413,1.8376644461223115,15.842675140454071,6,6
Correctiv,2024-01,negative_threat_terms_per_1000_mean,6,3.79528192219138,3.590939982413632,-0.20434193977774795,4.0926569708476785,6,6
