article_id,date,year_month,month_dt,year,month_num,publication,publication_normalized,word_count,body_char_count,word_count_used,corpus_type,corpus_name,batch_id,source_archive,migration_terms_count,migration_terms_per_1000_words,has_migration_terms,security_terms_count,security_terms_per_1000_words,has_security_terms,afd_far_right_terms_count,afd_far_right_terms_per_1000_words,has_afd_far_right_terms,remigration_democracy_terms_count,remigration_democracy_terms_per_1000_words,has_remigration_democracy_terms,negative_threat_terms_count,negative_threat_terms_per_1000_words,has_negative_threat_terms,security_share_of_migration_context,afd_mentions_binary,remigration_democracy_binary,negative_threat_intensity
5fadec8a591f7716df4cf1d2da9fca0278798eed,2013-01-09,2013-01,2013-01-01,2013,1,Südwest Presse,südwest presse,263,2095,263,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,5,19.011406844106464,1,1,3.802281368821293,1,1,3.802281368821293,1,2,7.604562737642586,1,5,19.011406844106464,1,0.2,1,1,19.011406844106464
61987e053a2d8ffe0022cf62e67f12cc9595e673,2013-01-30,2013-01,2013-01-01,2013,1,Südwest Presse,südwest presse,654,4514,654,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,6,9.174311926605505,1,5,7.6452599388379205,1,0,0.0,0,0,0.0,0,10,15.290519877675841,1,0.8333333333333334,0,0,15.290519877675841
87b4fbb8d229a88fca9b075d3f1d67cc37ad98f7,2013-01-31,2013-01,2013-01-01,2013,1,Der Tagesspiegel,der tagesspiegel,167,1223,167,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,3,17.964071856287426,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0
90497973b185bc0551ce6eb76731522ccfe6980d,2013-01-21,2013-01,2013-01-01,2013,1,"taz, die tageszeitung",taz die tageszeitung,128,949,128,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,1,7.8125,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0.0
917295c5d87e7dc345f2325eab5f72cf23eca98d,2013-01-11,2013-01,2013-01-01,2013,1,Rheinische Post,rheinische post,388,2920,388,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,3,7.731958762886598,1,11,28.350515463917525,1,0,0.0,0,0,0.0,0,0,0.0,0,3.6666666666666665,0,0,0.0
9212103cc540cc7c93643c51564d9140d14a83cf,2013-01-22,2013-01,2013-01-01,2013,1,"taz, die tageszeitung",taz die tageszeitung,562,4041,562,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,19,33.80782918149466,1,2,3.5587188612099645,1,1,1.7793594306049823,1,0,0.0,0,0,0.0,0,0.10526315789473684,1,0,0.0
934c818248d99a114e452b6da13b38e9433d8191,2013-01-07,2013-01,2013-01-01,2013,1,Der Tagesspiegel,der tagesspiegel,410,2798,410,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,1,2.4390243902439024,1,0,0.0,0,0,0.0,0,0,0.0,0,1,2.4390243902439024,1,0.0,0,0,2.4390243902439024
944836c01725762620609fa4e78ba0c07e89bcb9,2013-01-24,2013-01,2013-01-01,2013,1,"taz, die tageszeitung",taz die tageszeitung,215,1558,215,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,4,18.6046511627907,1,0,0.0,0,0,0.0,0,0,0.0,0,1,4.651162790697675,1,0.0,0,0,4.651162790697675
9ee330c4ce7a0908f882055acbc59a8192130521,2013-01-17,2013-01,2013-01-01,2013,1,Die Welt,die welt,588,4555,588,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,6,10.204081632653061,1,1,1.7006802721088434,1,0,0.0,0,0,0.0,0,0,0.0,0,0.16666666666666666,0,0,0.0
a20d99f87c34d34f5279479e035fd0e58979ee21,2013-01-16,2013-01,2013-01-01,2013,1,"taz, die tageszeitung",taz die tageszeitung,814,5897,814,main_monthly,Main Corpus,2013-01,2013-01(42).ZIP,42,51.597051597051596,1,3,3.6855036855036856,1,0,0.0,0,0,0.0,0,1,1.2285012285012284,1,0.07142857142857142,0,0,1.2285012285012284
