month,year_month,month_dt,year,month_num,tone_month_has_articles,n_articles_tone_indicators,tone_positive_terms_total,tone_negative_terms_total,tone_positive_terms_per_1000_mean,tone_negative_terms_per_1000_mean,tone_net_score_per_1000_mean,tone_negative_share_mean,share_articles_negative_tone,share_articles_positive_tone,share_articles_neutral_tone
2013-01,2013-01,2013-01-01,2013,1,True,38,60,72,3.7789416338495565,3.7077026896119505,0.07123894423760616,0.5293768366136787,0.42105263157894735,0.3157894736842105,0.2631578947368421
2013-02,2013-02,2013-02-01,2013,2,True,41,74,72,3.9318339782697143,3.3227076698861957,0.609126308383519,0.4382426516572858,0.2682926829268293,0.43902439024390244,0.2926829268292683
2013-03,2013-03,2013-03-01,2013,3,True,61,88,121,2.643492017278262,3.486461127159155,-0.8429691098808927,0.5342683273011142,0.45901639344262296,0.2786885245901639,0.26229508196721313
2013-04,2013-04,2013-04-01,2013,4,True,55,80,122,2.6654238146186553,3.685161778344691,-1.019737963726036,0.6029677897859715,0.4909090909090909,0.2545454545454545,0.2545454545454545
2013-05,2013-05,2013-05-01,2013,5,True,54,73,81,2.5567332054420633,3.401343323480008,-0.8446101180379444,0.5778439153439153,0.4444444444444444,0.2962962962962963,0.25925925925925924
2013-06,2013-06,2013-06-01,2013,6,True,71,94,148,2.659310951762996,3.7767618181128166,-1.1174508663498202,0.5879803295296253,0.4788732394366197,0.28169014084507044,0.23943661971830985
2013-07,2013-07,2013-07-01,2013,7,True,91,142,150,3.218995441802526,3.1921861643514875,0.02680927745103915,0.49773550625198976,0.32967032967032966,0.4175824175824176,0.25274725274725274
2013-08,2013-08,2013-08-01,2013,8,True,130,172,351,2.0037098727898965,4.631962111584725,-2.6282522387948277,0.6252546146663793,0.5461538461538461,0.23076923076923078,0.2230769230769231
2013-09,2013-09,2013-09-01,2013,9,True,80,118,154,2.7983296870544168,3.2521001661746487,-0.4537704791202324,0.5565033577533578,0.475,0.3625,0.1625
2013-10,2013-10,2013-10-01,2013,10,True,125,237,274,3.776280439001262,3.8829726490249423,-0.1066922100236805,0.5042160939432981,0.376,0.352,0.272
2013-11,2013-11,2013-11-01,2013,11,True,117,242,221,3.674027092818239,3.3621198510032912,0.31190724181494806,0.5128013486987846,0.38461538461538464,0.38461538461538464,0.23076923076923078
2013-12,2013-12,2013-12-01,2013,12,True,45,112,84,5.369525136547507,3.611022940462943,1.758502196084564,0.44080487413820746,0.3333333333333333,0.4666666666666667,0.2
2014-01,2014-01,2014-01-01,2014,1,True,45,92,91,4.031912615105598,3.9310967212462176,0.10081589385938106,0.49645873944119556,0.35555555555555557,0.37777777777777777,0.26666666666666666
2014-02,2014-02,2014-02-01,2014,2,True,46,89,68,3.768321853205203,2.4965145135571762,1.2718073396480267,0.45566221218395137,0.2608695652173913,0.391304347826087,0.34782608695652173
2014-03,2014-03,2014-03-01,2014,3,True,46,75,107,3.2676860920450443,4.116854171907887,-0.8491680798628422,0.5547626890018195,0.5217391304347826,0.2608695652173913,0.21739130434782608
2014-04,2014-04,2014-04-01,2014,4,True,48,109,137,3.853118962834035,4.852577487293906,-0.9994585244598713,0.5747801388426389,0.5,0.25,0.25
2014-05,2014-05,2014-05-01,2014,5,True,45,89,67,4.500756165858814,3.1215338058783106,1.379222359980503,0.3939241622574956,0.2222222222222222,0.4888888888888889,0.28888888888888886
2014-06,2014-06,2014-06-01,2014,6,True,49,127,104,4.087833606970943,3.247409916796405,0.8404236901745383,0.43627308066083575,0.2653061224489796,0.5102040816326531,0.22448979591836735
2014-07,2014-07,2014-07-01,2014,7,True,44,132,111,4.166935393373664,3.609529608211794,0.5574057851618703,0.47239685819231275,0.29545454545454547,0.4090909090909091,0.29545454545454547
2014-08,2014-08,2014-08-01,2014,8,True,45,92,94,3.9250248077009746,3.919151244950594,0.0058735627503806774,0.4896477304372041,0.37777777777777777,0.35555555555555557,0.26666666666666666
2014-09,2014-09,2014-09-01,2014,9,True,80,139,148,3.4761635274422256,3.367351370372971,0.10881215706925432,0.5201934523809524,0.4,0.3625,0.2375
2014-10,2014-10,2014-10-01,2014,10,True,45,121,99,5.1366055733533305,3.466035791919682,1.670569781433648,0.4072585130918464,0.28888888888888886,0.5333333333333333,0.17777777777777778
2014-11,2014-11,2014-11-01,2014,11,True,84,162,150,3.9533904333286065,3.42096211887182,0.5324283144567867,0.47084180700252126,0.30952380952380953,0.4523809523809524,0.23809523809523808
2014-12,2014-12,2014-12-01,2014,12,True,47,120,105,4.721548565676957,3.5542896881529966,1.167258877523961,0.45683890577507597,0.3829787234042553,0.5319148936170213,0.0851063829787234
2015-01,2015-01,2015-01-01,2015,1,True,47,105,109,4.172557499188077,3.9906835601820454,0.18187393900603205,0.5071129225384544,0.425531914893617,0.3829787234042553,0.19148936170212766
2015-02,2015-02,2015-02-01,2015,2,True,46,110,140,3.680146869814141,4.6642562130895495,-0.9841093432754081,0.5417210268754892,0.4782608695652174,0.34782608695652173,0.17391304347826086
2015-03,2015-03,2015-03-01,2015,3,True,48,134,117,4.414141978708943,3.6068975808306085,0.8072443978783349,0.4263656482406482,0.3125,0.4375,0.25
2015-04,2015-04,2015-04-01,2015,4,True,45,92,99,3.7031063269301545,3.8997176241547953,-0.19661129722464116,0.5156321147987815,0.4,0.37777777777777777,0.2222222222222222
2015-05,2015-05,2015-05-01,2015,5,True,83,212,171,4.997243097724714,3.389930098443388,1.6073129992813258,0.4009420972382794,0.2289156626506024,0.4578313253012048,0.3132530120481928
2015-06,2015-06,2015-06-01,2015,6,True,84,194,157,5.028226231400557,3.454680080174471,1.5735461512260864,0.41734029859029864,0.2857142857142857,0.5119047619047619,0.20238095238095238
