group_id,group_type,item_count,files,titles,publications,dates
variant_001,regional_variant,2,_Es ist widerlich_ AUSSCHREITUNGEN Politiker kritisieren den rechten Mob nach dem gewaltsamen Tod ei(2).PDF | _Es ist widerlich_ AUSSCHREITUNGEN Politiker kritisieren den rechten Mob nach dem gewaltsamen Tod ei.PDF,"""Es ist widerlich"" AUSSCHREITUNGEN Politiker kritisieren den rechten Mob nach dem gewaltsamen Tod | ""Es ist widerlich""; AUSSCHREITUNGEN Politiker kritisieren den rechten Mob nach dem gewaltsamen Tod",Mitteldeutsche Zeitung | Mitteldeutsche Zeitung,28. August 2018 | 28. August 2018
variant_002,regional_variant,2,_In Frankfurt ist kein Platz für Ausgrenzung_.PDF | _Kein Platz für Ausgrenzung_.PDF,"""In Frankfurt ist kein Platz für Ausgrenzung"" | ""Kein Platz für Ausgrenzung""",Frankfurter Rundschau | Frankfurter Rundschau,Montag 3. September 2018 | Montag 3. September 2018
variant_003,regional_variant,2,"_Nicht jammern, sondern machen_ Auf einer Reise durch Deutschland besucht Familienministerin Franzis(2).PDF | _Nicht jammern, sondern machen_ Auf einer Reise durch Deutschland besucht Familienministerin Franzis.PDF","""Nicht jammern, sondern machen"" Auf einer Reise durch Deutschland besucht Familienministerin Franziska | ""Nicht jammern, sondern machen"" Auf einer Reise durch Deutschland besucht Familienministerin Franziska",Berliner Zeitung | Berliner Zeitung,01. September 2018 | 01. September 2018
variant_004,regional_variant,2,Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz_(2).PDF | Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz_.PDF,Der brutale Trotz der Jugend Gibt es schon den Roman zu den Ausschreitungen von Chemnitz? | Der brutale Trotz der Jugend; Gibt es schon den Roman zu den Ausschreitungen von Chemnitz?,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),6. September 2018 | 6. September 2018
variant_005,regional_variant,2,"Funkenflug Jagdszenen in Chemnitz , einer deutschen Großstadt_ Rechts macht mobil , links hält ein w(2).PDF | Funkenflug Jagdszenen in Chemnitz , einer deutschen Großstadt_ Rechts macht mobil , links hält ein w.PDF","Funkenflug Jagdszenen in Chemnitz , einer deutschen Großstadt: Rechts macht mobil , links hält ein wenig | Funkenflug; Jagdszenen in Chemnitz, einer deutschen Großstadt: Rechts macht mobil, links hält ein wenig",Berliner Zeitung | Berliner Zeitung,29. August 2018 | 29. August 2018
variant_006,regional_variant,2,Gegen Ausgrenzung und Rechtsruck Ein Bündnis von 450 Organisationen plant eine riesige Demo am 13. O.PDF | Gegen Ausgrenzung und Rechtsruck Ein Bündnis von 450 Organisationen plant Großdemo am 13. Oktober -.PDF,Gegen Ausgrenzung und Rechtsruck Ein Bündnis von 450 Organisationen plant eine riesige Demo am 13. | Gegen Ausgrenzung und Rechtsruck Ein Bündnis von 450 Organisationen plant Großdemo am 13. Oktober -,Berliner Zeitung | Berliner Zeitung,06. September 2018 | 06. September 2018
variant_007,regional_variant,2,Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der De(2).PDF | Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der De.PDF,Unbehelligt von der Polizei; Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der | Unbehelligt von der Polizei Die Bilanz der Ordnungshüter in Chemnitz ist verheerend. Die Zahl der,Berliner Zeitung | Berliner Zeitung,29. August 2018 | 29. August 2018
variant_008,regional_variant,2,Verdächtiger hätte abgeschoben werden können(2).PDF | Verdächtiger hätte abgeschoben werden können.PDF,Verdächtiger hätte abgeschoben werden können | Verdächtiger hätte abgeschoben werden können,Der Tagesspiegel | Der Tagesspiegel,Samstag 1. September 2018 | Samstag 1. September 2018
variant_009,regional_variant,2,"Wer brüllt, verliert(2).PDF | Wer brüllt, verliert.PDF","Wer brüllt, verliert | Wer brüllt, verliert",Berliner Zeitung | Berliner Zeitung,31. August 2018 | 31. August 2018
variant_010,regional_variant,2,»Wir mögen die Stadt« Martin Böhringer ist Gründer und Chef des Chemnitzer Software-Start-ups Staffb(2).PDF | »Wir mögen die Stadt« Martin Böhringer ist Gründer und Chef des Chemnitzer Software-Start-ups Staffb.PDF,»Wir mögen die Stadt« Martin Böhringer ist Gründer und Chef des Chemnitzer Software-Start-ups Staffbase. | »Wir mögen die Stadt« Martin Böhringer ist Gründer und Chef des Chemnitzer Software-Start-ups Staffbase.,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),6. September 2018 | 6. September 2018
