group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Bundesregierung setzt Einreise von Afghanen aus Hunderte Personen sollten vor der Wahl per Charterfl(2).PDF | Bundesregierung setzt Einreise von Afghanen aus Hunderte Personen sollten vor der Wahl per Charterfl.PDF,Bundesregierung setzt Einreise von Afghanen aus Hunderte Personen sollten vor der Wahl per Charterflieger | Bundesregierung setzt Einreise von Afghanen aus Hunderte Personen sollten vor der Wahl per Charterflieger,Welt am Sonntag | Welt am Sonntag,16. Februar 2025 | 15. Februar 2025
exact_002,duplicate_exact,2,Deutschland und der Merz-Moment Zum ersten Mal seit fast einem Jahrzehnt zeigt die CDU in der Migrat(2).PDF | Deutschland und der Merz-Moment Zum ersten Mal seit fast einem Jahrzehnt zeigt die CDU in der Migrat.PDF,Deutschland und der Merz-Moment Zum ersten Mal seit fast einem Jahrzehnt zeigt die CDU in der | Deutschland und der Merz-Moment Zum ersten Mal seit fast einem Jahrzehnt zeigt die CDU in der,Welt am Sonntag | Welt am Sonntag,15. Februar 2025 | 16. Februar 2025
exact_003,duplicate_exact,2,Die Angst vor dem Hass Geflüchtete blicken besorgt auf die Wahlergebnisse und äußern Wünsche an die(2).PDF | Die Angst vor dem Hass Geflüchtete blicken besorgt auf die Wahlergebnisse und äußern Wünsche an die.PDF,Die Angst vor dem Hass; Geflüchtete blicken besorgt auf die Wahlergebnisse und äußern Wünsche an die | Die Angst vor dem Hass; Geflüchtete blicken besorgt auf die Wahlergebnisse und äußern Wünsche an die,Rheinische Post | Rheinische Post,Mittwoch 26. Februar 2025 | Mittwoch 26. Februar 2025
exact_004,duplicate_exact,2,Die Migrationspolitik der Parteien Das Thema Zuwanderung steht im Zentrum des Wahlkampfes. Die mögli(2).PDF | Die Migrationspolitik der Parteien Das Thema Zuwanderung steht im Zentrum des Wahlkampfes. Die mögli.PDF,Die Migrationspolitik der Parteien Das Thema Zuwanderung steht im Zentrum des Wahlkampfes. Die | Die Migrationspolitik der Parteien Das Thema Zuwanderung steht im Zentrum des Wahlkampfes. Die,Rheinische Post | Rheinische Post,Mittwoch 5. Februar 2025 | Mittwoch 5. Februar 2025
exact_005,duplicate_exact,2,Es braucht jetzt eine Vollbremsung Alexander Dobrindt hält die Wucht des gegenwärtigen Protestes für(2).PDF | Es braucht jetzt eine Vollbremsung Alexander Dobrindt hält die Wucht des gegenwärtigen Protestes für.PDF,Es braucht jetzt eine Vollbremsung Alexander Dobrindt hält die Wucht des gegenwärtigen Protestes für taktisch | Es braucht jetzt eine Vollbremsung Alexander Dobrindt hält die Wucht des gegenwärtigen Protestes für taktisch,Welt am Sonntag | Welt am Sonntag,2. Februar 2025 | 1. Februar 2025
exact_006,duplicate_exact,2,"Gefährlicher Wahn Wenn Menschen mit Psychosen gewalttätig werden, hat das oft fatale Folgen. Vorbeug(2).PDF | Gefährlicher Wahn Wenn Menschen mit Psychosen gewalttätig werden, hat das oft fatale Folgen. Vorbeug.PDF","Gefährlicher Wahn Wenn Menschen mit Psychosen gewalttätig werden, hat das oft fatale Folgen. | Gefährlicher Wahn Wenn Menschen mit Psychosen gewalttätig werden, hat das oft fatale Folgen.",Welt am Sonntag | Welt am Sonntag,16. Februar 2025 | 15. Februar 2025
exact_007,duplicate_exact,2,Japan -Hype der AfD bleibt unerwidert(2).PDF | Japan -Hype der AfD bleibt unerwidert.PDF,Japan-Hype der AfD bleibt unerwidert | Japan-Hype der AfD bleibt unerwidert,Frankfurter Rundschau | Frankfurter Rundschau,Mittwoch 12. Februar 2025 | Mittwoch 12. Februar 2025
exact_008,duplicate_exact,2,Mehr Angriffe auf Flüchtlingsheime(2).PDF | Mehr Angriffe auf Flüchtlingsheime.PDF,Mehr Angriffe auf Flüchtlingsheime | Mehr Angriffe auf Flüchtlingsheime,Frankfurter Rundschau | Frankfurter Rundschau,Montag 3. Februar 2025 | Montag 3. Februar 2025
exact_009,duplicate_exact,2,Radikale Ideen sind die Verführer Soziale Medien bringen sie als Turbo nur schneller unter die junge(2).PDF | Radikale Ideen sind die Verführer Soziale Medien bringen sie als Turbo nur schneller unter die junge.PDF,Radikale Ideen sind die Verführer; Soziale Medien bringen sie als Turbo nur schneller unter die jungen Leute. | Radikale Ideen sind die Verführer; Soziale Medien bringen sie als Turbo nur schneller unter die jungen Leute.,Rheinische Post | Rheinische Post,Samstag 22. Februar 2025 | Samstag 22. Februar 2025
exact_010,duplicate_exact,2,Streit um Bezahlkarte für Flüchtlinge Der Rat entscheidet über einen Verzicht auf die Einführung der(2).PDF | Streit um Bezahlkarte für Flüchtlinge Der Rat entscheidet über einen Verzicht auf die Einführung der.PDF,Streit um Bezahlkarte für Flüchtlinge Der Rat entscheidet über einen Verzicht auf die Einführung der Karte in | Streit um Bezahlkarte für Flüchtlinge Der Rat entscheidet über einen Verzicht auf die Einführung der Karte in,Rheinische Post | Rheinische Post,Donnerstag 6. Februar 2025 | Donnerstag 6. Februar 2025
exact_011,duplicate_exact,2,Verhallende Rufe Die Ampel wollte durch leichtere Zuwanderung von Fachkräften die Lücken am Arbeitsm(2).PDF | Verhallende Rufe Die Ampel wollte durch leichtere Zuwanderung von Fachkräften die Lücken am Arbeitsm.PDF,Verhallende Rufe Die Ampel wollte durch leichtere Zuwanderung von Fachkräften die Lücken am Arbeitsmarkt | Verhallende Rufe Die Ampel wollte durch leichtere Zuwanderung von Fachkräften die Lücken am Arbeitsmarkt,Welt am Sonntag | Welt am Sonntag,8. Februar 2025 | 9. Februar 2025
exact_012,duplicate_exact,2,Verletzte nach Anschlag in München Ein Asylbewerber ist mit einem Auto in einen Demonstrationszug ge(2).PDF | Verletzte nach Anschlag in München Ein Asylbewerber ist mit einem Auto in einen Demonstrationszug ge.PDF,Verletzte nach Anschlag in München; Ein Asylbewerber ist mit einem Auto in einen Demonstrationszug | Verletzte nach Anschlag in München Ein Asylbewerber ist mit einem Auto in einen Demonstrationszug,Rheinische Post | Rheinische Post,Freitag 14. Februar 2025 | Freitag 14. Februar 2025
exact_013,duplicate_exact,2,Zahl der Abschiebungen steigt Im Rahmen der Dublin-Regeln müssen vor allem Afghanen das Land verlass(2).PDF | Zahl der Abschiebungen steigt Im Rahmen der Dublin-Regeln müssen vor allem Afghanen das Land verlass.PDF,Zahl der Abschiebungen steigt Im Rahmen der Dublin-Regeln müssen vor allem Afghanen das Land verlassen. | Zahl der Abschiebungen steigt Im Rahmen der Dublin-Regeln müssen vor allem Afghanen das Land verlassen.,Rheinische Post | Rheinische Post,Freitag 14. Februar 2025 | Freitag 14. Februar 2025
near_001,duplicate_near,2,Deutlich mehr rechtsextreme Straftaten(2).PDF | Deutlich mehr rechtsextreme Straftaten.PDF,Deutlich mehr rechtsextreme Straftaten | Deutlich mehr rechtsextreme Straftaten,Frankfurter Rundschau | Frankfurter Rundschau,Freitag 14. Februar 2025 | Freitag 14. Februar 2025
near_002,duplicate_near,2,Deutschland außenpolitisch gefordert Die Kriege in der Ukraine und in Nahost hatten bereits immense(2).PDF | Deutschland außenpolitisch gefordert Die Kriege in der Ukraine und in Nahost hatten bereits immense.PDF,Deutschland außenpolitisch gefordert; Die Kriege in der Ukraine und in Nahost hatten bereits immense | Deutschland außenpolitisch gefordert Die Kriege in der Ukraine und in Nahost hatten bereits immense,Rheinische Post | Rheinische Post,Samstag 22. Februar 2025 | Samstag 22. Februar 2025
