group_id,group_type,item_count,files,titles,publications,dates
near_001,duplicate_near,2,CDU und FDP wollen mehr abschieben.PDF | CDU will abschieben.PDF,CDU und FDP wollen mehr abschieben | CDU will abschieben,Frankfurter Rundschau | Frankfurter Rundschau,Dienstag 26. September 2017 | Dienstag 26. September 2017
near_002,duplicate_near,2,Zusammengepfercht auf der Ladefläche Schleuser schmuggeln illegale Einwanderer in verplombten Lastwa(2).PDF | Zusammengepfercht auf der Ladefläche Schleuser schmuggeln illegale Einwanderer in verplombten Lastwa.PDF,Zusammengepfercht auf der Ladefläche; Schleuser schmuggeln illegale Einwanderer in verplombten | Zusammengepfercht auf der Ladefläche; Schleuser schmuggeln illegale Einwanderer in verplombten,Berliner Zeitung | Berliner Zeitung,18. September 2017 | 18. September 2017
variant_001,regional_variant,2,Zusammengepfercht auf der Ladefläche Schleuser schmuggeln illegale Einwanderer in verplombten Lastwa(2).PDF | Zusammengepfercht auf der Ladefläche Schleuser schmuggeln illegale Einwanderer in verplombten Lastwa.PDF,Zusammengepfercht auf der Ladefläche; Schleuser schmuggeln illegale Einwanderer in verplombten | Zusammengepfercht auf der Ladefläche; Schleuser schmuggeln illegale Einwanderer in verplombten,Berliner Zeitung | Berliner Zeitung,18. September 2017 | 18. September 2017
