group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Deutschland gewährte Asyl trotz wiederholter Drohungen Vor dem Attentat von Magdeburg haben Sicherhe(2).PDF | Deutschland gewährte Asyl trotz wiederholter Drohungen Vor dem Attentat von Magdeburg haben Sicherhe.PDF,Deutschland gewährte Asyl trotz wiederholter Drohungen Vor dem Attentat von Magdeburg haben | Deutschland gewährte Asyl trotz wiederholter Drohungen Vor dem Attentat von Magdeburg haben,Rheinische Post | Rheinische Post,Dienstag 24. Dezember 2024 | Dienstag 24. Dezember 2024
exact_002,duplicate_exact,2,Viele offene Fragen zur Rückkehr syrischer Flüchtlinge(2).PDF | Viele offene Fragen zur Rückkehr syrischer Flüchtlinge.PDF,Viele offene Fragen zur Rückkehr syrischer Flüchtlinge | Viele offene Fragen zur Rückkehr syrischer Flüchtlinge,Rheinische Post | Rheinische Post,Donnerstag 12. Dezember 2024 | Donnerstag 12. Dezember 2024
near_001,duplicate_near,2,CDU will finanziellen Anreiz für Rückführung Fast eine Million Syrer leben in Deutschland. Nach Assa(2).PDF | CDU will finanziellen Anreiz für Rückführung Fast eine Million Syrer leben in Deutschland. Nach Assa.PDF,CDU will finanziellen Anreiz für Rückführung Fast eine Million Syrer leben in Deutschland. Nach Assads Sturz | CDU will finanziellen Anreiz für Rückführung; Fast eine Million Syrer leben in Deutschland. Nach Assads Sturz,Rheinische Post | Rheinische Post,Dienstag 10. Dezember 2024 | Dienstag 10. Dezember 2024
near_002,duplicate_near,2,"Länger im Land, eher erwerbstätig 86 Prozent der Flüchtlinge gingen nach acht Jahren in Deutschland(2).PDF | Länger im Land, eher erwerbstätig 86 Prozent der Flüchtlinge gingen nach acht Jahren in Deutschland.PDF","Länger im Land, eher erwerbstätig 86 Prozent der Flüchtlinge gingen nach acht Jahren in Deutschland einer | Länger im Land, eher erwerbstätig; 86 Prozent der Flüchtlinge gingen nach acht Jahren in Deutschland einer",Rheinische Post | Rheinische Post,Donnerstag 5. Dezember 2024 | Donnerstag 5. Dezember 2024
variant_001,regional_variant,2,CDU will finanziellen Anreiz für Rückführung Fast eine Million Syrer leben in Deutschland. Nach Assa(2).PDF | CDU will finanziellen Anreiz für Rückführung Fast eine Million Syrer leben in Deutschland. Nach Assa.PDF,CDU will finanziellen Anreiz für Rückführung Fast eine Million Syrer leben in Deutschland. Nach Assads Sturz | CDU will finanziellen Anreiz für Rückführung; Fast eine Million Syrer leben in Deutschland. Nach Assads Sturz,Rheinische Post | Rheinische Post,Dienstag 10. Dezember 2024 | Dienstag 10. Dezember 2024
variant_002,regional_variant,2,"Länger im Land, eher erwerbstätig 86 Prozent der Flüchtlinge gingen nach acht Jahren in Deutschland(2).PDF | Länger im Land, eher erwerbstätig 86 Prozent der Flüchtlinge gingen nach acht Jahren in Deutschland.PDF","Länger im Land, eher erwerbstätig 86 Prozent der Flüchtlinge gingen nach acht Jahren in Deutschland einer | Länger im Land, eher erwerbstätig; 86 Prozent der Flüchtlinge gingen nach acht Jahren in Deutschland einer",Rheinische Post | Rheinische Post,Donnerstag 5. Dezember 2024 | Donnerstag 5. Dezember 2024
