group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Keine Kritik Glückwunsch Mutig(2).PDF | Keine Kritik Glückwunsch Mutig.PDF,Keine Kritik Glückwunsch Mutig | Keine Kritik Glückwunsch Mutig,Rheinische Post | Rheinische Post,29. Januar 2013 Dienstag | 29. Januar 2013 Dienstag
near_001,duplicate_near,2,Charlie Chaplins große Werke.PDF | Charlie Chaplins Werke in Straelen.PDF,Charlie Chaplins große Werke | Charlie Chaplins Werke in Straelen,Rheinische Post | Rheinische Post,24. Januar 2013 Donnerstag | 24. Januar 2013 Donnerstag
variant_001,regional_variant,2,Charlie Chaplins große Werke.PDF | Charlie Chaplins Werke in Straelen.PDF,Charlie Chaplins große Werke | Charlie Chaplins Werke in Straelen,Rheinische Post | Rheinische Post,24. Januar 2013 Donnerstag | 24. Januar 2013 Donnerstag
