group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Eklatanter Vertrauensverlust Flüchtlingspolitik(2).PDF | Eklatanter Vertrauensverlust Flüchtlingspolitik.PDF,Eklatanter Vertrauensverlust Flüchtlingspolitik | Eklatanter Vertrauensverlust Flüchtlingspolitik,Rheinische Post | Rheinische Post,Samstag 25. November 2023 | Samstag 25. November 2023
exact_002,duplicate_exact,2,"Landkreise fordern Hilfe bei Abschiebung Kommunen in NRW verlangen, die Zuwanderung zu begrenzen und(2).PDF | Landkreise fordern Hilfe bei Abschiebung Kommunen in NRW verlangen, die Zuwanderung zu begrenzen und.PDF","Landkreise fordern Hilfe bei Abschiebung Kommunen in NRW verlangen, die Zuwanderung zu begrenzen und | Landkreise fordern Hilfe bei Abschiebung Kommunen in NRW verlangen, die Zuwanderung zu begrenzen und",Rheinische Post | Rheinische Post,Montag 6. November 2023 | Montag 6. November 2023
exact_003,duplicate_exact,2,Merz fürchtet eine Falle Der Oppositionsführer berät schon wieder mit dem Kanzler über die Beschränk(2).PDF | Merz fürchtet eine Falle Der Oppositionsführer berät schon wieder mit dem Kanzler über die Beschränk.PDF,Merz fürchtet eine Falle Der Oppositionsführer berät schon wieder mit dem Kanzler über die Beschränkung von | Merz fürchtet eine Falle Der Oppositionsführer berät schon wieder mit dem Kanzler über die Beschränkung von,Welt am Sonntag | Welt am Sonntag,5. November 2023 | 4. November 2023
