sample,lag_months,x_variable,y_variable,correlation,n_used,notes
historical_manual_wahlrecht,2,media_salience_log1p_lag2,afd_poll_support_change,0.3502254803397978,38,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,3,media_salience_z_lag3,afd_poll_support_mean,0.6045747208215054,37,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,3,media_salience_z_lag3,afd_poll_support_change,0.26093739424905504,37,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,3,media_salience_log1p_lag3,afd_poll_support_mean,0.6706600602367695,37,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,3,media_salience_log1p_lag3,afd_poll_support_change,0.20939879328344121,37,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,4,media_salience_z_lag4,afd_poll_support_mean,0.6644160603057826,36,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,4,media_salience_z_lag4,afd_poll_support_change,0.17766349765453401,36,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,4,media_salience_log1p_lag4,afd_poll_support_mean,0.7184986272389987,36,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,4,media_salience_log1p_lag4,afd_poll_support_change,0.17032122574125583,36,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,5,media_salience_z_lag5,afd_poll_support_mean,0.7094824360443454,35,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,5,media_salience_z_lag5,afd_poll_support_change,0.10453782519894365,35,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,5,media_salience_log1p_lag5,afd_poll_support_mean,0.7509523515954366,35,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,5,media_salience_log1p_lag5,afd_poll_support_change,0.10003461081206536,35,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,6,media_salience_z_lag6,afd_poll_support_mean,0.7508413650334189,34,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,6,media_salience_z_lag6,afd_poll_support_change,0.099020393769147,34,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,6,media_salience_log1p_lag6,afd_poll_support_mean,0.7668089027625302,34,Descriptive lag correlation only; non-causal and source-boundary sensitive.
historical_manual_wahlrecht,6,media_salience_log1p_lag6,afd_poll_support_change,0.05836900198012309,34,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,0,media_salience_z_lag0,afd_poll_support_mean,0.07019560682689899,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
dawum,0,media_salience_z_lag0,afd_poll_support_change,-0.07258834187577971,108,Descriptive lag correlation only; non-causal and source-boundary sensitive.
