shock_label,shock_month,pre_months,post_months,afd_pre_mean,afd_post_mean,afd_change_post_minus_pre,salience_pre_mean,salience_post_mean,salience_change_post_minus_pre,afd_shock_month,salience_shock_month,n_months_pre,n_months_post
Chemnitz,2018-08,3,3,15.070079365079366,15.515631578947369,0.4455522138680035,0.42156873171298326,0.1996504217043045,-0.22191831000867876,15.463157894736844,0.19086157774356471,3,3
Chemnitz,2018-08,6,6,14.462366522366523,14.529740923163523,0.06737440079700008,0.10956477110672203,0.13593130298894132,0.026366531882219296,15.463157894736844,0.19086157774356471,6,6
Correctiv,2024-01,3,3,21.508152173913043,18.228030303030305,-3.2801218708827378,0.322694237154661,-0.48807661822358117,-0.8107708553782422,21.34,-0.4353435544591427,3,3
Correctiv,2024-01,6,6,21.172471148684917,17.519438431938433,-3.653032716746484,0.039254019420804,-0.48368219624321135,-0.5229362156640154,21.34,-0.4353435544591427,6,6
