shock_label,shock_month,window_months,variable,pre_mean,post_mean,change_post_minus_pre,shock_month_value,n_months_pre,n_months_post
Cologne,2016-01,3,afd_poll_support_mean,8.155555555555557,12.133333333333333,3.977777777777776,10.0,3,3
Cologne,2016-01,3,nexis_total_results,712.3333333333334,512.6666666666666,-199.66666666666674,766.0,3,3
Cologne,2016-01,3,migration_terms_per_1000_mean,32.70205829757178,34.262948615382186,1.5608903178104043,20.690985758945416,3,3
Cologne,2016-01,3,security_terms_per_1000_mean,2.882604090276976,3.2241128299215105,0.34150873964453465,16.113944918402456,3,3
Cologne,2016-01,3,afd_far_right_terms_per_1000_mean,0.9210073424880258,0.9549980588123451,0.03399071632431927,1.0616179886829322,3,3
Cologne,2016-01,3,remigration_democracy_terms_per_1000_mean,0.36782623530690195,0.6719507709273089,0.304124535620407,0.24402731565222918,3,3
Cologne,2016-01,3,tone_negative_terms_per_1000_mean,4.424789736198053,3.8121486906263766,-0.6126410455716766,5.73701788552629,3,3
Cologne,2016-01,3,tone_net_score_per_1000_mean,-0.6757733060812269,-0.41882151576305393,0.25695179031817295,-2.8811473401027743,3,3
Cologne,2016-01,3,tone_negative_share_mean,0.5335876606837332,0.5291934157514786,-0.0043942449322545984,0.6536179228927372,3,3
Cologne,2016-01,3,share_articles_negative_tone,0.43604826546003017,0.39883930583727745,-0.037208959622752724,0.63125,3,3
Cologne,2016-01,6,afd_poll_support_mean,6.027777777777778,12.522222222222224,6.494444444444446,10.0,6,6
Cologne,2016-01,6,nexis_total_results,711.5,400.1666666666667,-311.3333333333333,766.0,6,6
Cologne,2016-01,6,migration_terms_per_1000_mean,34.559517920249505,32.86120810761829,-1.6983098126312157,20.690985758945416,6,6
Cologne,2016-01,6,security_terms_per_1000_mean,2.8474379404747054,3.409287046452705,0.5618491059779998,16.113944918402456,6,6
Cologne,2016-01,6,afd_far_right_terms_per_1000_mean,0.806665652326796,0.9447398953579668,0.13807424303117077,1.0616179886829322,6,6
Cologne,2016-01,6,remigration_democracy_terms_per_1000_mean,0.351435240563547,0.502293084175866,0.15085784361231902,0.24402731565222918,6,6
Cologne,2016-01,6,tone_negative_terms_per_1000_mean,4.1603790321491685,3.860002953203223,-0.3003760789459453,5.73701788552629,6,6
Cologne,2016-01,6,tone_net_score_per_1000_mean,-0.3506751322670813,-0.4858784729095104,-0.13520334064242912,-2.8811473401027743,6,6
Cologne,2016-01,6,tone_negative_share_mean,0.517081427493579,0.5153457935837751,-0.001735633909803913,0.6536179228927372,6,6
Cologne,2016-01,6,share_articles_negative_tone,0.4206722597967469,0.39712169648099677,-0.023550563315750117,0.63125,6,6
Chemnitz,2018-08,3,afd_poll_support_mean,15.070079365079366,15.515631578947369,0.4455522138680035,15.463157894736844,3,3
Chemnitz,2018-08,3,nexis_total_results,244.0,210.33333333333334,-33.66666666666666,209.0,3,3
Chemnitz,2018-08,3,migration_terms_per_1000_mean,30.256968984310813,23.366048959691643,-6.89092002461917,16.69712663333129,3,3
Chemnitz,2018-08,3,security_terms_per_1000_mean,5.187017700875638,7.404338814463441,2.2173211135878024,14.12861791247431,3,3
Chemnitz,2018-08,3,afd_far_right_terms_per_1000_mean,1.772015461534571,4.10820256968507,2.336187108150499,7.60462078757623,3,3
Chemnitz,2018-08,3,remigration_democracy_terms_per_1000_mean,0.7200257205420927,1.7692695177147575,1.049243797172665,1.4725518470734458,3,3
Chemnitz,2018-08,3,tone_negative_terms_per_1000_mean,5.145650821163337,4.147876824459646,-0.9977739967036916,5.706419105490759,3,3
Chemnitz,2018-08,3,tone_net_score_per_1000_mean,-1.6600412378125535,-1.5334183430299444,0.12662289478260913,-3.4176724754085916,3,3
Chemnitz,2018-08,3,tone_negative_share_mean,0.6014005253857392,0.5685788440677851,-0.03282168131795404,0.6457556032946948,3,3
Chemnitz,2018-08,3,share_articles_negative_tone,0.5282828282828284,0.502146592442645,-0.02613623584018332,0.6075949367088608,3,3
Chemnitz,2018-08,6,afd_poll_support_mean,14.462366522366523,14.529740923163523,0.06737440079700008,15.463157894736844,6,6
Chemnitz,2018-08,6,nexis_total_results,196.66666666666666,200.66666666666666,4.0,209.0,6,6
Chemnitz,2018-08,6,migration_terms_per_1000_mean,26.33753467101069,24.488927658432193,-1.8486070125784977,16.69712663333129,6,6
Chemnitz,2018-08,6,security_terms_per_1000_mean,5.312036431623686,5.7680462654841,0.4560098338604135,14.12861791247431,6,6
Chemnitz,2018-08,6,afd_far_right_terms_per_1000_mean,1.5224228838406617,2.3895643422989674,0.8671414584583057,7.60462078757623,6,6
Chemnitz,2018-08,6,remigration_democracy_terms_per_1000_mean,0.5084793086988437,0.9687100513134358,0.46023074261459207,1.4725518470734458,6,6
Chemnitz,2018-08,6,tone_negative_terms_per_1000_mean,5.098873902664376,3.6233786291439407,-1.4754952735204356,5.706419105490759,6,6
Chemnitz,2018-08,6,tone_net_score_per_1000_mean,-1.6271582389140133,-0.6058046039755065,1.0213536349385068,-3.4176724754085916,6,6
Chemnitz,2018-08,6,tone_negative_share_mean,0.5761557234465933,0.5166076353655863,-0.05954808808100698,0.6457556032946948,6,6
Chemnitz,2018-08,6,share_articles_negative_tone,0.5096441884259822,0.4199225025705289,-0.08972168585545337,0.6075949367088608,6,6
Correctiv,2024-01,3,afd_poll_support_mean,21.508152173913043,18.228030303030305,-3.2801218708827378,21.34,3,3
Correctiv,2024-01,3,nexis_total_results,229.0,106.0,-123.0,114.0,3,3
Correctiv,2024-01,3,migration_terms_per_1000_mean,28.846290792035106,18.17694697550607,-10.669343816529036,9.742081881209826,3,3
