batch_id,corpus_name,source_archive,file_name,file_path,title_original,title_normalized,publication,publication_normalized,date,byline,word_count,body_char_count,body_hash_exact,duplicate_group_id,duplicate_category,keep_drop_review,drop_reason,kept_representative_of_group,representative_selection_reason,malformed_flag,malformed_reason,notes,section,low_value_flag,low_value_reason
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Correctiv muss sich korrigieren Ein Teilnehmer des Potsdamer Treffens war vor Gericht gezogen. Er se.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Correctiv muss sich korrigieren Ein Teilnehmer des Potsdamer Treffens war vor Gericht gezogen. Er se.PDF,Correctiv muss sich korrigieren Ein Teilnehmer des Potsdamer Treffens war vor Gericht gezogen. Er sei falsch,correctiv muss sich korrigieren ein teilnehmer des potsdamer treffens war vor gericht gezogen er sei falsch,"taz, die tageszeitung",taz die tageszeitung,Mittwoch 28. Februar 2024,Jan Kahlcke,559,4173,840b33c2dd52c58da681eb47d98fdf7b1a018822,,unique,keep,,no,,no,,,SCHWERPUNKT; S. 3,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Darum gehen Krefelder zur Demonstration Vom Schützen bis zum Wirtschaftsboss_ Wir sammelten bei Unte.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Darum gehen Krefelder zur Demonstration Vom Schützen bis zum Wirtschaftsboss_ Wir sammelten bei Unte.PDF,Darum gehen Krefelder zur Demonstration Vom Schützen bis zum Wirtschaftsboss: Wir sammelten bei,darum gehen krefelder zur demonstration vom schützen bis zum wirtschaftsboss wir sammelten bei,Rheinische Post,rheinische post,Montag 29. Januar 2024,"Sven Schalljo, Jens Voss",1470,10586,30bfecf0dada9110796c644c48b9ee4e5c1ce414,,unique,keep,,no,,no,,,S. 16,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Darum recherchieren Medien ab und an verdeckt Presserecht Correctiv-Bericht über AfD-Geheimtreffen l.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Darum recherchieren Medien ab und an verdeckt Presserecht Correctiv-Bericht über AfD-Geheimtreffen l.PDF,Darum recherchieren Medien ab und an verdeckt; Presserecht Correctiv-Bericht über AfD-Geheimtreffen lässt,darum recherchieren medien ab und an verdeckt presserecht correctivbericht über afdgeheimtreffen lässt,Nordwest-Zeitung,nordwestzeitung,30. Januar 2024,,603,4731,be6afe39742b5eaad99dc3b491119533e394d8dd,,unique,keep,,no,,no,,,THEMEN SEITEN; S. 7,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Das furchterregende Unwort Analyse So politisch war die jährliche Wahl selten_ Mit „Remigration“ gre(2).PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Das furchterregende Unwort Analyse So politisch war die jährliche Wahl selten_ Mit „Remigration“ gre(2).PDF,Das furchterregende Unwort; Analyse So politisch war die jährliche Wahl selten: Mit „Remigration“ greifen,das furchterregende unwort analyse so politisch war die jährliche wahl selten mit remigration greifen,Rheinische Post,rheinische post,Dienstag 16. Januar 2024,Lothar Schröder,704,5160,57df256f0248b6675a44f7fc17866aff69af35f1,variant_003,regional_variant,drop,regional_variant,no,,no,,Dropped in favor of representative file: Das furchterregende Unwort Analyse So politisch war die jährliche Wahl selten_ Mit „Remigration“ gre.PDF (variant_003).,S. 5,yes,commentary_noncore
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Das furchterregende Unwort Analyse So politisch war die jährliche Wahl selten_ Mit „Remigration“ gre.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Das furchterregende Unwort Analyse So politisch war die jährliche Wahl selten_ Mit „Remigration“ gre.PDF,Das furchterregende Unwort Analyse So politisch war die jährliche Wahl selten: Mit „Remigration“ greifen,das furchterregende unwort analyse so politisch war die jährliche wahl selten mit remigration greifen,Rheinische Post,rheinische post,Dienstag 16. Januar 2024,Lothar Schröder,704,5160,1c554833fb29405286820dce3efbacd271e2bf92,variant_003,regional_variant,keep,,yes,cleanest_parsed_version,no,,Representative kept for variant_003.,S. 5,yes,commentary_noncore
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Delmenhorst soll bunt bleiben Demonstration Rund 2000 Teilnehmer auf Rathausplatz   Breites Bündnis.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Delmenhorst soll bunt bleiben Demonstration Rund 2000 Teilnehmer auf Rathausplatz   Breites Bündnis.PDF,Delmenhorst soll bunt bleiben; Demonstration Rund 2000 Teilnehmer auf Rathausplatz Breites Bündnis,delmenhorst soll bunt bleiben demonstration rund 2000 teilnehmer auf rathausplatz breites bündnis,Nordwest-Zeitung,nordwestzeitung,02. Februar 2024,,510,3720,9b024a86a345560b061f0658e2617ff46bb1f624,,unique,keep,,no,,no,,,GANDERKESEE; S. 12,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Demo in Xanten _ „Ihr seid die Demokratie!“ Um die 1000 Menschen haben am Samstag in Xanten gegen Re.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Demo in Xanten _ „Ihr seid die Demokratie!“ Um die 1000 Menschen haben am Samstag in Xanten gegen Re.PDF,Demo in Xanten: „Ihr seid die Demokratie!“; Um die 1000 Menschen haben am Samstag in Xanten gegen,demo in xanten ihr seid die demokratie um die 1000 menschen haben am samstag in xanten gegen,Rheinische Post,rheinische post,Montag 29. Januar 2024,Markus Werning,873,6476,64200d96720f77bc04d13b3a196c31027a84db15,,unique,keep,,no,,no,,,S. 25,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Demo-Organisatoren planen weitere Aktionen Die Plakate könnten am Sonntag nach Karneval am Rheinufer(2).PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Demo-Organisatoren planen weitere Aktionen Die Plakate könnten am Sonntag nach Karneval am Rheinufer(2).PDF,Demo-Organisatoren planen weitere Aktionen Die Plakate könnten am Sonntag nach Karneval am Rheinufer,demoorganisatoren planen weitere aktionen die plakate könnten am sonntag nach karneval am rheinufer,Rheinische Post,rheinische post,Dienstag 30. Januar 2024,Uwe-Jens Ruhnau,731,4954,46b8e5e663a673d944a9c773ba48981ca8adc75e,exact_003,duplicate_exact,drop,duplicate_exact,no,,no,,Dropped in favor of representative file: Demo-Organisatoren planen weitere Aktionen Die Plakate könnten am Sonntag nach Karneval am Rheinufer.PDF (exact_003).,S. 15,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,Demo-Organisatoren planen weitere Aktionen Die Plakate könnten am Sonntag nach Karneval am Rheinufer.PDF,C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Demo-Organisatoren planen weitere Aktionen Die Plakate könnten am Sonntag nach Karneval am Rheinufer.PDF,Demo-Organisatoren planen weitere Aktionen Die Plakate könnten am Sonntag nach Karneval am Rheinufer,demoorganisatoren planen weitere aktionen die plakate könnten am sonntag nach karneval am rheinufer,Rheinische Post,rheinische post,Dienstag 30. Januar 2024,Uwe-Jens Ruhnau,731,4954,46b8e5e663a673d944a9c773ba48981ca8adc75e,exact_003,duplicate_exact,keep,,yes,cleanest_parsed_version,no,,Representative kept for exact_003.,S. 15,no,
Corrective Revelation,Corrective Revelation,Correctiv(272).ZIP,"Demokratie als Nice-to-have Ein Werbevideo mit leeren Supermarkt-Regalen zeigt, wie es wäre, wenn di.PDF","C:\PythonProjects\AfD-project\Corpora\Corrective Revelation\raw_unarchive\Demokratie als Nice-to-have Ein Werbevideo mit leeren Supermarkt-Regalen zeigt, wie es wäre, wenn di.PDF","Demokratie als Nice-to-have; Ein Werbevideo mit leeren Supermarkt-Regalen zeigt, wie es wäre, wenn die AfD",demokratie als nicetohave ein werbevideo mit leeren supermarktregalen zeigt wie es wäre wenn die afd,"taz, die tageszeitung",taz die tageszeitung,Donnerstag 25. Januar 2024,Simon Poelchau,621,4127,fcd063efcc013616bd090c639d70b1f1ee3b1a4a,,unique,keep,,no,,no,,,GESELLSCHAFT; S. 13,no,
