group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,17 556 - Simin - Parmila(2).PDF | 17 556 - Simin - Parmila.PDF,17 556 - Simin - Parmila | 17 556 - Simin - Parmila,Frankfurter Rundschau | Frankfurter Rundschau,Dienstag 9. August 2022 | Dienstag 9. August 2022
exact_002,duplicate_exact,2,Baerbock verteidigt Mali-Einsatz(2).PDF | Baerbock verteidigt Mali-Einsatz.PDF,Baerbock verteidigt Mali-Einsatz | Baerbock verteidigt Mali-Einsatz,Frankfurter Rundschau | Frankfurter Rundschau,Montag 29. August 2022 | Montag 29. August 2022
exact_003,duplicate_exact,2,"Durchbruch bei Kasernen-Diskussion in Aurich Immobilien Stadt, Landkreis, Investor und BImA einigen(2).PDF | Durchbruch bei Kasernen-Diskussion in Aurich Immobilien Stadt, Landkreis, Investor und BImA einigen.PDF","Durchbruch bei Kasernen-Diskussion in Aurich Immobilien Stadt, Landkreis, Investor und BImA einigen sich auf | Durchbruch bei Kasernen-Diskussion in Aurich; Immobilien Stadt, Landkreis, Investor und BImA einigen sich",Nordwest-Zeitung | Nordwest-Zeitung,23. August 2022 | 23. August 2022
exact_004,duplicate_exact,2,Fast 1000 Straftaten in NRW Zwischen ukrainischen Flüchtlingen und Russen gibt es zunehmend Konflikt(2).PDF | Fast 1000 Straftaten in NRW Zwischen ukrainischen Flüchtlingen und Russen gibt es zunehmend Konflikt.PDF,Fast 1000 Straftaten in NRW; Zwischen ukrainischen Flüchtlingen und Russen gibt es zunehmend Konflikte. | Fast 1000 Straftaten in NRW Zwischen ukrainischen Flüchtlingen und Russen gibt es zunehmend Konflikte.,Rheinische Post | Rheinische Post,Donnerstag 25. August 2022 | Donnerstag 25. August 2022
exact_005,duplicate_exact,2,Kritik nach tödlichem Polizeieinsatz Nach dem Tod eines Jugendlichen in Dortmund ermittelt nun die P(2).PDF | Kritik nach tödlichem Polizeieinsatz Nach dem Tod eines Jugendlichen in Dortmund ermittelt nun die P.PDF,Kritik nach tödlichem Polizeieinsatz; Nach dem Tod eines Jugendlichen in Dortmund ermittelt nun die Polizei | Kritik nach tödlichem Polizeieinsatz; Nach dem Tod eines Jugendlichen in Dortmund ermittelt nun die Polizei,Rheinische Post | Rheinische Post,Donnerstag 11. August 2022 | Donnerstag 11. August 2022
exact_006,duplicate_exact,2,Maschinenpistole ist Polizeistandard Nach den tödlichen Schüssen auf einen 16-Jährigen wird die Ausb(2).PDF | Maschinenpistole ist Polizeistandard Nach den tödlichen Schüssen auf einen 16-Jährigen wird die Ausb.PDF,Maschinenpistole ist Polizeistandard Nach den tödlichen Schüssen auf einen 16-Jährigen wird die Ausbildung | Maschinenpistole ist Polizeistandard Nach den tödlichen Schüssen auf einen 16-Jährigen wird die Ausbildung,Rheinische Post | Rheinische Post,Donnerstag 11. August 2022 | Donnerstag 11. August 2022
exact_007,duplicate_exact,2,Mehr Rechte für Flüchtlinge Deutschland verstößt mit seinen Gesetzen zum Nachzug von Familienangehör(2).PDF | Mehr Rechte für Flüchtlinge Deutschland verstößt mit seinen Gesetzen zum Nachzug von Familienangehör.PDF,Mehr Rechte für Flüchtlinge Deutschland verstößt mit seinen Gesetzen zum Nachzug von Familienangehörigen | Mehr Rechte für Flüchtlinge Deutschland verstößt mit seinen Gesetzen zum Nachzug von Familienangehörigen,Rheinische Post | Rheinische Post,Dienstag 2. August 2022 | Dienstag 2. August 2022
exact_008,duplicate_exact,2,NACHRICHTEN(2).PDF | NACHRICHTEN.PDF,NACHRICHTEN | NACHRICHTEN,Frankfurter Rundschau | Frankfurter Rundschau,Freitag 19. August 2022 | Freitag 19. August 2022
exact_009,duplicate_exact,2,Reul verspricht volle Aufklärung Ein 16-Jähriger stirbt durch Schüsse. Der Minister fordert Fairness(2).PDF | Reul verspricht volle Aufklärung Ein 16-Jähriger stirbt durch Schüsse. Der Minister fordert Fairness.PDF,Reul verspricht volle Aufklärung Ein 16-Jähriger stirbt durch Schüsse. Der Minister fordert Fairness gegen die | Reul verspricht volle Aufklärung Ein 16-Jähriger stirbt durch Schüsse. Der Minister fordert Fairness gegen die,Rheinische Post | Rheinische Post,Freitag 12. August 2022 | Freitag 12. August 2022
near_001,duplicate_near,2,Aufgezeichnet(2).PDF | Aufgezeichnet.PDF,Aufgezeichnet | Aufgezeichnet,Frankfurter Rundschau | Frankfurter Rundschau,Freitag 19. August 2022 | Freitag 19. August 2022
near_002,duplicate_near,2,Aurichs Bürgermeister sieht Chance für Kompromiss Blücher-Kaserne Verbindung von Entwicklung und Flü.PDF | Chance für Kompromiss Blücher-Kaserne Verbindung von Entwicklung und Flüchtlingsunterbringung.PDF,Aurichs Bürgermeister sieht Chance für Kompromiss Blücher-Kaserne Verbindung von Entwicklung und | Chance für Kompromiss Blücher-Kaserne Verbindung von Entwicklung und Flüchtlingsunterbringung,Nordwest-Zeitung | Nordwest-Zeitung,12. August 2022 | 12. August 2022
near_003,duplicate_near,2,Daheim droht Verfolgung(2).PDF | Daheim droht Verfolgung.PDF,Daheim droht Verfolgung | Daheim droht Verfolgung,Frankfurter Rundschau | Frankfurter Rundschau,Donnerstag 18. August 2022 | Donnerstag 18. August 2022
near_004,duplicate_near,2,"Fahrradputzen für die Ukraine Marienschülerinnen haben anderen Menschen im Haushalt, Garten oder auf.PDF | Fahrradputzen für die Ukraine Xantener Marienschülerinnen haben anderen Menschen im Haushalt, Garten.PDF","Fahrradputzen für die Ukraine; Marienschülerinnen haben anderen Menschen im Haushalt, Garten oder auf | Fahrradputzen für die Ukraine Xantener Marienschülerinnen haben anderen Menschen im Haushalt, Garten",Rheinische Post | Rheinische Post,Mittwoch 31. August 2022 | Mittwoch 31. August 2022
near_005,duplicate_near,2,Flucht ohne Baby(2).PDF | Flucht ohne Baby.PDF,Flucht ohne Baby | Flucht ohne Baby,Frankfurter Rundschau | Frankfurter Rundschau,Mittwoch 17. August 2022 | Mittwoch 17. August 2022
near_006,duplicate_near,2,Flucht trennt Eltern und Säugling(2).PDF | Flucht trennt Eltern und Säugling.PDF,Flucht trennt Eltern und Säugling | Flucht trennt Eltern und Säugling,Frankfurter Rundschau | Frankfurter Rundschau,Mittwoch 17. August 2022 | Mittwoch 17. August 2022
near_007,duplicate_near,3,Land soll Geflüchtete aufnehmen Migration Städtetag fordert Rücksichtnahme auf Kommunen.PDF | Land soll mehr Geflüchtete aufnehmen Migration Städtetag fordert Rücksichtnahme auf Situation in den(2).PDF | Land soll mehr Geflüchtete aufnehmen Migration Städtetag fordert Rücksichtnahme auf Situation in den.PDF,Land soll Geflüchtete aufnehmen Migration Städtetag fordert Rücksichtnahme auf Kommunen | Land soll mehr Geflüchtete aufnehmen Migration Städtetag fordert Rücksichtnahme auf Situation in den | Land soll mehr Geflüchtete aufnehmen Migration Städtetag fordert Rücksichtnahme auf Situation in den,Nordwest-Zeitung | Nordwest-Zeitung | Nordwest-Zeitung,26. August 2022 | 26. August 2022 | 26. August 2022
near_008,duplicate_near,2,Zuflucht in Hessen(2).PDF | Zuflucht in Hessen.PDF,Zuflucht in Hessen | Zuflucht in Hessen,Frankfurter Rundschau | Frankfurter Rundschau,Donnerstag 25. August 2022 | Donnerstag 25. August 2022
variant_001,regional_variant,2,Aufgezeichnet(2).PDF | Aufgezeichnet.PDF,Aufgezeichnet | Aufgezeichnet,Frankfurter Rundschau | Frankfurter Rundschau,Freitag 19. August 2022 | Freitag 19. August 2022
variant_002,regional_variant,2,Daheim droht Verfolgung(2).PDF | Daheim droht Verfolgung.PDF,Daheim droht Verfolgung | Daheim droht Verfolgung,Frankfurter Rundschau | Frankfurter Rundschau,Donnerstag 18. August 2022 | Donnerstag 18. August 2022
variant_003,regional_variant,2,DIE HAFT.PDF | Vergessene Gefangene.PDF,DIE HAFT | Vergessene Gefangene,Frankfurter Rundschau | Frankfurter Rundschau,Dienstag 9. August 2022 | Dienstag 9. August 2022
variant_004,regional_variant,2,"Fahrradputzen für die Ukraine Marienschülerinnen haben anderen Menschen im Haushalt, Garten oder auf.PDF | Fahrradputzen für die Ukraine Xantener Marienschülerinnen haben anderen Menschen im Haushalt, Garten.PDF","Fahrradputzen für die Ukraine; Marienschülerinnen haben anderen Menschen im Haushalt, Garten oder auf | Fahrradputzen für die Ukraine Xantener Marienschülerinnen haben anderen Menschen im Haushalt, Garten",Rheinische Post | Rheinische Post,Mittwoch 31. August 2022 | Mittwoch 31. August 2022
variant_005,regional_variant,2,Flucht ohne Baby(2).PDF | Flucht ohne Baby.PDF,Flucht ohne Baby | Flucht ohne Baby,Frankfurter Rundschau | Frankfurter Rundschau,Mittwoch 17. August 2022 | Mittwoch 17. August 2022
variant_006,regional_variant,2,Flucht trennt Eltern und Säugling(2).PDF | Flucht trennt Eltern und Säugling.PDF,Flucht trennt Eltern und Säugling | Flucht trennt Eltern und Säugling,Frankfurter Rundschau | Frankfurter Rundschau,Mittwoch 17. August 2022 | Mittwoch 17. August 2022
variant_007,regional_variant,3,Land soll Geflüchtete aufnehmen Migration Städtetag fordert Rücksichtnahme auf Kommunen.PDF | Land soll mehr Geflüchtete aufnehmen Migration Städtetag fordert Rücksichtnahme auf Situation in den(2).PDF | Land soll mehr Geflüchtete aufnehmen Migration Städtetag fordert Rücksichtnahme auf Situation in den.PDF,Land soll Geflüchtete aufnehmen Migration Städtetag fordert Rücksichtnahme auf Kommunen | Land soll mehr Geflüchtete aufnehmen Migration Städtetag fordert Rücksichtnahme auf Situation in den | Land soll mehr Geflüchtete aufnehmen Migration Städtetag fordert Rücksichtnahme auf Situation in den,Nordwest-Zeitung | Nordwest-Zeitung | Nordwest-Zeitung,26. August 2022 | 26. August 2022 | 26. August 2022
