group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,_Nicht nur versorgen_(2).PDF | _Nicht nur versorgen_.PDF,"""Nicht nur versorgen"" | ""Nicht nur versorgen""",Frankfurter Rundschau | Frankfurter Rundschau,Freitag 22. August 2014 | Samstag 23. August 2014
near_001,duplicate_near,2,Container für 260 Flüchtlinge.PDF | Neue Wohncontainer für 260 Flüchtlinge.PDF,Container für 260 Flüchtlinge | Neue Wohncontainer für 260 Flüchtlinge,Frankfurter Rundschau | Frankfurter Rundschau,Mittwoch 6. August 2014 | Mittwoch 6. August 2014
variant_001,regional_variant,2,Container für 260 Flüchtlinge.PDF | Neue Wohncontainer für 260 Flüchtlinge.PDF,Container für 260 Flüchtlinge | Neue Wohncontainer für 260 Flüchtlinge,Frankfurter Rundschau | Frankfurter Rundschau,Mittwoch 6. August 2014 | Mittwoch 6. August 2014
