group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Aus der Krise gekocht Esmatullah Faizi ist vor sechs Jahren als Flüchtling nach Deutschland gekommen(2).PDF | Aus der Krise gekocht Esmatullah Faizi ist vor sechs Jahren als Flüchtling nach Deutschland gekommen.PDF,Aus der Krise gekocht Esmatullah Faizi ist vor sechs Jahren als Flüchtling nach Deutschland gekommen und | Aus der Krise gekocht Esmatullah Faizi ist vor sechs Jahren als Flüchtling nach Deutschland gekommen und,Rheinische Post | Rheinische Post,Dienstag 14. Juli 2020 | Dienstag 14. Juli 2020
exact_002,duplicate_exact,2,Corona-Krise verhindert Familiennachzug(2).PDF | Corona-Krise verhindert Familiennachzug.PDF,Corona-Krise verhindert Familiennachzug | Corona-Krise verhindert Familiennachzug,Rheinische Post | Rheinische Post,Donnerstag 16. Juli 2020 | Donnerstag 16. Juli 2020
exact_003,duplicate_exact,2,Die unbemerkte Flüchtlingskatastrophe Auf der Suche nach einem besseren Leben kommen Hunderttausende(2).PDF | Die unbemerkte Flüchtlingskatastrophe Auf der Suche nach einem besseren Leben kommen Hunderttausende.PDF,Die unbemerkte Flüchtlingskatastrophe Auf der Suche nach einem besseren Leben kommen Hunderttausende | Die unbemerkte Flüchtlingskatastrophe Auf der Suche nach einem besseren Leben kommen Hunderttausende,Rheinische Post | Rheinische Post,Donnerstag 30. Juli 2020 | Donnerstag 30. Juli 2020
exact_004,duplicate_exact,2,Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die D(2).PDF | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die D.PDF,Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die DDR | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die DDR,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),30. Juli 2020 | 30. Juli 2020
exact_005,duplicate_exact,2,Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die D(3).PDF | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die D(4).PDF,Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die DDR | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die DDR,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),30. Juli 2020 | 30. Juli 2020
exact_006,duplicate_exact,2,Seehofer stoppt Flüchtlings-Plan Der Minister verweigert Berlin Kontingente – NRW will 500 Menschen(2).PDF | Seehofer stoppt Flüchtlings-Plan Der Minister verweigert Berlin Kontingente – NRW will 500 Menschen.PDF,Seehofer stoppt Flüchtlings-Plan Der Minister verweigert Berlin Kontingente – NRW will 500 Menschen | Seehofer stoppt Flüchtlings-Plan Der Minister verweigert Berlin Kontingente – NRW will 500 Menschen,Rheinische Post | Rheinische Post,Freitag 31. Juli 2020 | Freitag 31. Juli 2020
near_001,duplicate_near,4,Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die D(2).PDF | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die D(3).PDF | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die D(4).PDF | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die D.PDF,Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die DDR | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die DDR | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die DDR | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die DDR,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),30. Juli 2020 | 30. Juli 2020 | 30. Juli 2020 | 30. Juli 2020
near_002,duplicate_near,2,"Unter uns Als im Sommer 2015 immer mehr Menschen nach Deutschland flohen, sagte Angela Merkel_ »Wir(2).PDF | Unter uns Als im Sommer 2015 immer mehr Menschen nach Deutschland flohen, sagte Angela Merkel_ »Wir.PDF","Unter uns Als im Sommer 2015 immer mehr Menschen nach Deutschland flohen, sagte Angela Merkel: »Wir | Unter uns Als im Sommer 2015 immer mehr Menschen nach Deutschland flohen, sagte Angela Merkel: »Wir",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),23. Juli 2020 | 23. Juli 2020
variant_001,regional_variant,4,Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die D(2).PDF | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die D(3).PDF | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die D(4).PDF | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die D.PDF,Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die DDR | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die DDR | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die DDR | Honeckers fliegender Teppich Hunderttausende Flüchtlinge gelangten zwischen 1970 und 1989 über die DDR,Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),30. Juli 2020 | 30. Juli 2020 | 30. Juli 2020 | 30. Juli 2020
variant_002,regional_variant,2,"Unter uns Als im Sommer 2015 immer mehr Menschen nach Deutschland flohen, sagte Angela Merkel_ »Wir(2).PDF | Unter uns Als im Sommer 2015 immer mehr Menschen nach Deutschland flohen, sagte Angela Merkel_ »Wir.PDF","Unter uns Als im Sommer 2015 immer mehr Menschen nach Deutschland flohen, sagte Angela Merkel: »Wir | Unter uns Als im Sommer 2015 immer mehr Menschen nach Deutschland flohen, sagte Angela Merkel: »Wir",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),23. Juli 2020 | 23. Juli 2020
