batch_id,month_folder,archive_found,archive_name,pdf_count,processed,kept_count,dropped_count,review_count,status,error_message,run_timestamp
2018-02,2018-02,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2018-03,2018-03,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2018-04,2018-04,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2018-05,2018-05,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2018-06,2018-06,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2018-07,2018-07,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2018-08,2018-08,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2018-09,2018-09,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2018-10,2018-10,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2018-11,2018-11,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2018-12,2018-12,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2019-01,2019-01,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2019-02,2019-02,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2019-03,2019-03,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2019-04,2019-04,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2019-05,2019-05,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2019-06,2019-06,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2019-07,2019-07,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2019-08,2019-08,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2019-09,2019-09,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2019-10,2019-10,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2019-11,2019-11,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2019-12,2019-12,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2020-01,2020-01,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2020-02,2020-02,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2020-03,2020-03,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2020-04,2020-04,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2020-05,2020-05,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2020-06,2020-06,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2020-07,2020-07,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
2020-08,2020-08,no,,0,no,0,0,0,no_archive,,2026-04-28T01:20:32
