month_id,kept_article_count,source_top1,source_top1_count,top1_share
2022-10,78,Nordwest-Zeitung,19,0.24358974358974358
2022-11,43,Rheinische Post,18,0.4186046511627907
2022-12,45,Rheinische Post,10,0.2222222222222222
2023-01,84,Rheinische Post,24,0.2857142857142857
2023-02,41,Frankfurter Rundschau,7,0.17073170731707318
2023-03,43,Rheinische Post,9,0.20930232558139536
2023-04,46,Der Tagesspiegel,11,0.2391304347826087
2023-05,42,Rheinische Post,10,0.23809523809523808
2023-06,46,Rheinische Post,8,0.17391304347826086
2023-07,41,Rheinische Post,12,0.2926829268292683
2023-08,79,Rheinische Post,28,0.35443037974683544
2023-09,81,Rheinische Post,31,0.38271604938271603
2023-10,76,Rheinische Post,25,0.32894736842105265
2023-11,44,Rheinische Post,16,0.36363636363636365
2023-12,46,Rheinische Post,24,0.5217391304347826
2024-01,42,Rheinische Post,18,0.42857142857142855
2024-02,41,Rheinische Post,10,0.24390243902439024
2024-03,41,Rheinische Post,19,0.4634146341463415
2024-04,43,Rheinische Post,11,0.2558139534883721
2024-05,66,Rheinische Post,17,0.25757575757575757
2024-06,81,Rheinische Post,25,0.30864197530864196
2024-07,45,Rheinische Post,13,0.28888888888888886
2024-08,75,Rheinische Post,19,0.25333333333333335
2024-09,42,Rheinische Post,12,0.2857142857142857
2024-10,48,Rheinische Post,10,0.20833333333333334
2024-11,43,Rheinische Post,15,0.3488372093023256
2024-12,44,Rheinische Post,10,0.22727272727272727
2025-01,78,Rheinische Post,23,0.2948717948717949
2025-02,75,Rheinische Post,22,0.29333333333333333
2025-03,81,Rheinische Post,26,0.32098765432098764
2025-04,66,Rheinische Post,16,0.24242424242424243
2025-05,45,Rheinische Post,11,0.24444444444444444
2025-06,44,Rheinische Post,10,0.22727272727272727
2025-07,73,Rheinische Post,18,0.2465753424657534
2025-08,72,Rheinische Post,21,0.2916666666666667
2025-09,76,Rheinische Post,18,0.23684210526315788
2025-10,72,Rheinische Post,15,0.20833333333333334
2025-11,73,"taz, die tageszeitung",13,0.1780821917808219
2025-12,88,Rheinische Post,22,0.25
