publication,kept_count,kept_share
Rheinische Post,1730,0.19721842225262198
"taz, die tageszeitung",1278,0.1456908344733242
Frankfurter Rundschau,1194,0.13611491108071136
Die Welt,1122,0.12790697674418605
Der Tagesspiegel,968,0.11035111719106247
Berliner Zeitung,771,0.08789329685362517
Südwest Presse,644,0.07341541267669859
Nordwest-Zeitung,492,0.0560875512995896
Welt am Sonntag,328,0.03739170086639307
Die ZEIT (inklusive ZEIT Magazin),245,0.027929776561787505
