group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Abgeschoben trotz Personalmangel Fachkräftemangel(2).PDF | Abgeschoben trotz Personalmangel Fachkräftemangel.PDF,Abgeschoben trotz Personalmangel; Fachkräftemangel | Abgeschoben trotz Personalmangel Fachkräftemangel,Rheinische Post | Rheinische Post,Samstag 2. August 2025 | Montag 11. August 2025
exact_002,duplicate_exact,2,"Andere Länder, andere Lösungen Deutschland hat mehr als eine Million Ukraine -Flüchtlinge aufgenomme(2).PDF | Andere Länder, andere Lösungen Deutschland hat mehr als eine Million Ukraine -Flüchtlinge aufgenomme.PDF","Andere Länder, andere Lösungen Deutschland hat mehr als eine Million Ukraine -Flüchtlinge aufgenommen. | Andere Länder, andere Lösungen Deutschland hat mehr als eine Million Ukraine -Flüchtlinge aufgenommen.",Rheinische Post | Rheinische Post,Dienstag 12. August 2025 | Dienstag 12. August 2025
exact_003,duplicate_exact,2,Angst vor Abschiebung Pakistan lässt aktuell Afghanen im großen Stil in das von den Taliban regierte(2).PDF | Angst vor Abschiebung Pakistan lässt aktuell Afghanen im großen Stil in das von den Taliban regierte.PDF,Angst vor Abschiebung Pakistan lässt aktuell Afghanen im großen Stil in das von den Taliban regierte | Angst vor Abschiebung Pakistan lässt aktuell Afghanen im großen Stil in das von den Taliban regierte,Rheinische Post | Rheinische Post,Samstag 16. August 2025 | Samstag 16. August 2025
exact_004,duplicate_exact,2,Deutschlands Randerscheinung Der Anteil junger Menschen zwischen 15 und 24 Jahren ist niedrig. Im eu(2).PDF | Deutschlands Randerscheinung Der Anteil junger Menschen zwischen 15 und 24 Jahren ist niedrig. Im eu.PDF,Deutschlands Randerscheinung Der Anteil junger Menschen zwischen 15 und 24 Jahren ist niedrig. Im | Deutschlands Randerscheinung Der Anteil junger Menschen zwischen 15 und 24 Jahren ist niedrig. Im,Rheinische Post | Rheinische Post,Mittwoch 6. August 2025 | Mittwoch 6. August 2025
exact_005,duplicate_exact,2,Europas flexibles Grenzregime(2).PDF | Europas flexibles Grenzregime.PDF,Europas flexibles Grenzregime | Europas flexibles Grenzregime,Frankfurter Rundschau | Frankfurter Rundschau,Dienstag 26. August 2025 | Dienstag 26. August 2025
exact_006,duplicate_exact,2,"Früherer IS-Kämpfer darf abgeschoben werden Das Verwaltungsgericht Münster ist überzeugt, dass dem M(2).PDF | Früherer IS-Kämpfer darf abgeschoben werden Das Verwaltungsgericht Münster ist überzeugt, dass dem M.PDF","Früherer IS-Kämpfer darf abgeschoben werden Das Verwaltungsgericht Münster ist überzeugt, dass dem | Früherer IS-Kämpfer darf abgeschoben werden Das Verwaltungsgericht Münster ist überzeugt, dass dem",Rheinische Post | Rheinische Post,Donnerstag 28. August 2025 | Donnerstag 28. August 2025
exact_007,duplicate_exact,6,Gefährlicher Trend in Deutschland(2).PDF | Gefährlicher Trend in Deutschland(3).PDF | Gefährlicher Trend in Deutschland(4).PDF | Gefährlicher Trend in Deutschland(5).PDF | Gefährlicher Trend in Deutschland(6).PDF | Gefährlicher Trend in Deutschland.PDF,Gefährlicher Trend in Deutschland | Gefährlicher Trend in Deutschland | Gefährlicher Trend in Deutschland | Gefährlicher Trend in Deutschland | Gefährlicher Trend in Deutschland | Gefährlicher Trend in Deutschland,Frankfurter Rundschau | Frankfurter Rundschau | Frankfurter Rundschau | Frankfurter Rundschau | Frankfurter Rundschau | Frankfurter Rundschau,Donnerstag 28. August 2025 | Donnerstag 28. August 2025 | Donnerstag 28. August 2025 | Donnerstag 28. August 2025 | Donnerstag 28. August 2025 | Donnerstag 28. August 2025
exact_008,duplicate_exact,2,Gelungene Integration(2).PDF | Gelungene Integration.PDF,Gelungene Integration | Gelungene Integration,Frankfurter Rundschau | Frankfurter Rundschau,Montag 25. August 2025 | Montag 25. August 2025
exact_009,duplicate_exact,2,Jahrestag der gebrochenen Versprechen(2).PDF | Jahrestag der gebrochenen Versprechen.PDF,Jahrestag der gebrochenen Versprechen | Jahrestag der gebrochenen Versprechen,Frankfurter Rundschau | Frankfurter Rundschau,Freitag 15. August 2025 | Freitag 15. August 2025
exact_010,duplicate_exact,2,Rechte Ausschreitungen in Rostock beendet(2).PDF | Rechte Ausschreitungen in Rostock beendet.PDF,Rechte Ausschreitungen in Rostock beendet | Rechte Ausschreitungen in Rostock beendet,Rheinische Post | Rheinische Post,Montag 25. August 2025 | Montag 25. August 2025
