group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,EKD plant Rettungsschiff für das Mittelmeer(2).PDF | EKD plant Rettungsschiff für das Mittelmeer.PDF,EKD plant Rettungsschiff für das Mittelmeer | EKD plant Rettungsschiff für das Mittelmeer,Rheinische Post | Rheinische Post,Donnerstag 27. Juni 2019 | Donnerstag 27. Juni 2019
exact_002,duplicate_exact,2,"Geisel unterstützt Seenotrettung von Flüchtlingen SPD und Grüne wollen, dass Düsseldorf einen Appell(2).PDF | Geisel unterstützt Seenotrettung von Flüchtlingen SPD und Grüne wollen, dass Düsseldorf einen Appell.PDF","Geisel unterstützt Seenotrettung von Flüchtlingen SPD und Grüne wollen, dass Düsseldorf einen Appell des | Geisel unterstützt Seenotrettung von Flüchtlingen SPD und Grüne wollen, dass Düsseldorf einen Appell des",Rheinische Post | Rheinische Post,Donnerstag 20. Juni 2019 | Donnerstag 20. Juni 2019
exact_003,duplicate_exact,2,"Immer noch kommen 500 Flüchtlinge pro Tag Der Zuzug von Menschen aus Afrika, Syrien und dem Irak wäc(2).PDF | Immer noch kommen 500 Flüchtlinge pro Tag Der Zuzug von Menschen aus Afrika, Syrien und dem Irak wäc.PDF","Immer noch kommen 500 Flüchtlinge pro Tag Der Zuzug von Menschen aus Afrika, Syrien und dem Irak | Immer noch kommen 500 Flüchtlinge pro Tag Der Zuzug von Menschen aus Afrika, Syrien und dem Irak",Rheinische Post | Rheinische Post,Samstag 15. Juni 2019 | Samstag 15. Juni 2019
exact_004,duplicate_exact,2,Legale Zuwanderung wird leichter Die große Koalition hat sich nach langem Streit auf zahlreiche Ände(2).PDF | Legale Zuwanderung wird leichter Die große Koalition hat sich nach langem Streit auf zahlreiche Ände.PDF,Legale Zuwanderung wird leichter Die große Koalition hat sich nach langem Streit auf zahlreiche Änderungen | Legale Zuwanderung wird leichter Die große Koalition hat sich nach langem Streit auf zahlreiche Änderungen,Rheinische Post | Rheinische Post,Mittwoch 5. Juni 2019 | Mittwoch 5. Juni 2019
