batch_id,corpus_name,source_archive,file_name,file_path,title_original,title_normalized,publication,publication_normalized,date,byline,word_count,body_char_count,body_hash_exact,duplicate_group_id,duplicate_category,keep_drop_review,drop_reason,kept_representative_of_group,representative_selection_reason,malformed_flag,malformed_reason,notes,section,low_value_flag,low_value_reason
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Streit um die deutsche Flagge Am 13. Oktober wollen Tausende für Solidarität statt Ausgrenzung demon.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Streit um die deutsche Flagge Am 13. Oktober wollen Tausende für Solidarität statt Ausgrenzung demon.PDF,Streit um die deutsche Flagge Am 13. Oktober wollen Tausende für Solidarität statt Ausgrenzung,streit um die deutsche flagge am 13 oktober wollen tausende für solidarität statt ausgrenzung,"taz, die tageszeitung",taz die tageszeitung,Freitag 28. September 2018,Carolina Schwarz,511,3622,cc1deff7e8fc8c9b041b3b864a8f7f327227df82,,unique,keep,,no,,no,,,INLAND; S. 6,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Streit über  Hetzjagden Kontroverse Fragen und Antworten zu der Debatte um Übergriffe von Chemnitz.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Streit über  Hetzjagden Kontroverse Fragen und Antworten zu der Debatte um Übergriffe von Chemnitz.PDF,Streit über Hetzjagden Kontroverse Fragen und Antworten zu der Debatte um Übergriffe von Chemnitz,streit über hetzjagden kontroverse fragen und antworten zu der debatte um übergriffe von chemnitz,Nordwest-Zeitung,nordwestzeitung,10. September 2018,,550,3748,318c5de89b866f351942b9b186b36287b25cefee,,unique,keep,,no,,no,,,NACHRICHTEN POLITIK; S. 2,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,"Suche nach Antworten Nach den Krawallen in Chemnitz treibt die Politik die Frage um, wie es soweit k.PDF","C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Suche nach Antworten Nach den Krawallen in Chemnitz treibt die Politik die Frage um, wie es soweit k.PDF","Suche nach Antworten Nach den Krawallen in Chemnitz treibt die Politik die Frage um, wie es soweit kommen",suche nach antworten nach den krawallen in chemnitz treibt die politik die frage um wie es soweit kommen,Berliner Zeitung,berliner zeitung,31. August 2018,Melanie Reinsch,602,4354,3470a7cd8aadecffb8f84c64c1ad1ece4854f2c0,,unique,keep,,no,,no,,,THEMA; S. 4; Ausg. 203,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Tag 170.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Tag 170.PDF,Tag 170,tag 170,Die Welt,die welt,Freitag 31. August 2018,,345,2417,110d6aa3d7b2ebea7520476c248214ff31bbffd8,,unique,keep,,no,,no,,,FORUM; Es ist eine GroKo; S. 3; Ausg. 203,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Tausende gedenken trotz Matsch und Regen Etwa 7.000 Menschen trauern im Hambacher Wald um den verung.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Tausende gedenken trotz Matsch und Regen Etwa 7.000 Menschen trauern im Hambacher Wald um den verung.PDF,Tausende gedenken trotz Matsch und Regen Etwa 7.000 Menschen trauern im Hambacher Wald um den,tausende gedenken trotz matsch und regen etwa 7000 menschen trauern im hambacher wald um den,"taz, die tageszeitung",taz die tageszeitung,Montag 24. September 2018,Anett Selle,727,4842,2f4ab27ea3958f03d29eeb3e323be9e11fbf8104,,unique,keep,,no,,no,,,SCHWERPUNKT; S. 3,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Tausende in Chemnitz erwartet Am Wochenende gab es erneut fremdenfeindliche Aufmärsche. Außenministe.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Tausende in Chemnitz erwartet Am Wochenende gab es erneut fremdenfeindliche Aufmärsche. Außenministe.PDF,Tausende in Chemnitz erwartet Am Wochenende gab es erneut fremdenfeindliche Aufmärsche. Außenminister,tausende in chemnitz erwartet am wochenende gab es erneut fremdenfeindliche aufmärsche aussenminister,Rheinische Post,rheinische post,Montag 3. September 2018,"Dunz, Kristina",527,3932,9588705875dc335157f3494c2bd9d3e2b3bd2287,,unique,keep,,no,,no,,,,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Tausende protestieren Zwei Aufmärsche ziehen durch Chemnitz. Diesmal behält die Polizei die Kontroll.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Tausende protestieren Zwei Aufmärsche ziehen durch Chemnitz. Diesmal behält die Polizei die Kontroll.PDF,Tausende protestieren Zwei Aufmärsche ziehen durch Chemnitz. Diesmal behält die Polizei die Kontrolle in der,tausende protestieren zwei aufmärsche ziehen durch chemnitz diesmal behält die polizei die kontrolle in der,Südwest Presse,südwest presse,Montag 3. September 2018,,395,2738,d852f868bdfc775145a8522f654b0bf1400f73eb,,unique,keep,,no,,no,,,Politik,no,
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Toleranz hat Grenzen Klaus Hillenbrand über Neonazi-Aufmärsche und antisemitische Parolen.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Toleranz hat Grenzen Klaus Hillenbrand über Neonazi-Aufmärsche und antisemitische Parolen.PDF,Toleranz hat Grenzen Klaus Hillenbrand über Neonazi-Aufmärsche und antisemitische Parolen,toleranz hat grenzen klaus hillenbrand über neonaziaufmärsche und antisemitische parolen,"taz, die tageszeitung",taz die tageszeitung,Montag 24. September 2018,Klaus Hillenbrand,292,2064,ee67df34b36f11a33a120b2315899e90ea6dcd31,,unique,drop,commentary_noncore,no,,no,,,MEINUNG UND DISKUSSION; S. 12,yes,commentary_noncore
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Tägliche Polit-Soap.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Tägliche Polit-Soap.PDF,Tägliche Polit-Soap,tägliche politsoap,Frankfurter Rundschau,frankfurter rundschau,Donnerstag 27. September 2018,,1412,10251,ee9333dca46216f9cecdc9b283a5022475d2257a,,unique,drop,reader_letter,no,,no,,,LESERFORUM; S. 18,yes,reader_letter
Chemnitz,Chemnitz,Chemnitz(337).ZIP,Tödlicher Streit in Köthen Zwei verdächtige Afghanen festgenommen.PDF,C:\PythonProjects\AfD-project\Corpora\Chemnitz\raw_unarchive\Tödlicher Streit in Köthen Zwei verdächtige Afghanen festgenommen.PDF,Tödlicher Streit in Köthen Zwei verdächtige Afghanen festgenommen,tödlicher streit in köthen zwei verdächtige afghanen festgenommen,Der Tagesspiegel,der tagesspiegel,Montag 10. September 2018,,302,2163,72773d3e6833d8f7f5d8f19c16d90ca81f8c8e78,,unique,keep,,no,,no,,,POLITIK; S. 4; Ausg. 23586,no,
