month,year_month,year,month_num,nexis_total_results,media_salience_volume_raw,media_salience_volume_log1p,media_salience_volume_z,raw_article_count,download_fraction,retrieval_mismatch_flag,high_download_sample_flag,kept_article_count,cleaned_sample_size,cleaned_sample_fraction,cleaned_sample_log1p,cleaned_sample_z
2013-01,2013-01,2013,1,42,42,3.7612001156935624,-0.9099411283390894,42,1.0,False,False,38,38,0.9047619047619048,3.6635616461296463,-0.9733381032416775
2013-02,2013-02,2013,2,55,55,4.02535169073515,-0.8242498997218768,55,1.0,False,True,41,41,0.7454545454545455,3.7376696182833684,-0.8131685419487432
2013-03,2013-03,2013,3,67,67,4.219507705176107,-0.745150304075219,67,1.0,False,True,61,61,0.9104477611940298,4.127134385045092,0.25462853333748503
2013-04,2013-04,2013,4,63,63,4.1588830833596715,-0.7715168359574383,63,1.0,False,True,55,55,0.873015873015873,4.02535169073515,-0.06571058924838342
2013-05,2013-05,2013,5,64,64,4.174387269895637,-0.7649252029868834,64,1.0,False,True,54,54,0.84375,4.007333185232471,-0.11910044301269483
2013-06,2013-06,2013,6,83,83,4.430816798843313,-0.6396841765463419,83,1.0,False,True,71,71,0.8554216867469879,4.276666119016055,0.7885270709805992
2013-07,2013-07,2013,7,104,104,4.653960350157523,-0.5012598841646908,104,1.0,False,True,91,91,0.875,4.5217885770490405,1.8563241462668274
2013-08,2013-08,2013,8,146,146,4.990432586778736,-0.2244112994013886,146,1.0,False,True,130,130,0.8904109589041096,4.875197323201151,3.938528443074973
2013-09,2013-09,2013,9,95,95,4.564348191467836,-0.5605845808996841,91,0.9578947368421052,False,True,80,80,0.8421052631578947,4.394449154672439,1.2690357548594018
2013-10,2013-10,2013,10,151,151,5.0238805208462765,-0.19145313454861454,141,0.9337748344370861,False,True,125,125,0.8278145695364238,4.836281906951478,3.6715791742534156
2013-11,2013-11,2013,11,146,146,4.990432586778736,-0.2244112994013886,136,0.9315068493150684,False,True,117,117,0.8013698630136986,4.770684624465665,3.244460344138924
2013-12,2013-12,2013,12,131,131,4.882801922586371,-0.3232857939597108,50,0.3816793893129771,False,False,45,45,0.3435114503816794,3.828641396489095,-0.5996091268914975
2014-01,2014-01,2014,1,165,165,5.111987788356544,-0.09917027296084711,50,0.30303030303030304,False,False,45,45,0.2727272727272727,3.828641396489095,-0.5996091268914975
2014-02,2014-02,2014,2,106,106,4.672828834461906,-0.48807661822358117,50,0.4716981132075472,False,False,46,46,0.4339622641509434,3.8501476017100584,-0.5462192731271861
2014-03,2014-03,2014,3,85,85,4.454347296253507,-0.6265009106052323,50,0.5882352941176471,False,False,46,46,0.5411764705882353,3.8501476017100584,-0.5462192731271861
