group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,"Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie b(2).PDF | Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie b(3).PDF","Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie | Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),4. Dezember 2014 | 4. Dezember 2014
near_001,duplicate_near,3,"Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie b(2).PDF | Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie b(3).PDF | Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie b.PDF","Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie | Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie | Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),4. Dezember 2014 | 4. Dezember 2014 | 4. Dezember 2014
variant_001,regional_variant,3,"Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie b(2).PDF | Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie b(3).PDF | Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie b.PDF","Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie | Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie | Deutschland tut weh Flüchtlingskinder dürfen erst zum Arzt, wenn sie schlimme Schmerzen haben. Sie",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),4. Dezember 2014 | 4. Dezember 2014 | 4. Dezember 2014
