group_id,group_type,item_count,files,titles,publications,dates
exact_001,duplicate_exact,2,Zwischen Kampf und Depression(2).PDF | Zwischen Kampf und Depression.PDF,Zwischen Kampf und Depression | Zwischen Kampf und Depression,Frankfurter Rundschau | Frankfurter Rundschau,Donnerstag 27. März 2014 | Mittwoch 26. März 2014
near_001,duplicate_near,2,"Es sind unsere Fremden Wer nach langen Strapazen nach Deutschland kommt, muss hier leichter arbeiten(2).PDF | Es sind unsere Fremden Wer nach langen Strapazen nach Deutschland kommt, muss hier leichter arbeiten.PDF","Es sind unsere Fremden Wer nach langen Strapazen nach Deutschland kommt, muss hier leichter arbeiten | Es sind unsere Fremden Wer nach langen Strapazen nach Deutschland kommt, muss hier leichter arbeiten",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),20. März 2014 | 20. März 2014
variant_001,regional_variant,2,"Es sind unsere Fremden Wer nach langen Strapazen nach Deutschland kommt, muss hier leichter arbeiten(2).PDF | Es sind unsere Fremden Wer nach langen Strapazen nach Deutschland kommt, muss hier leichter arbeiten.PDF","Es sind unsere Fremden Wer nach langen Strapazen nach Deutschland kommt, muss hier leichter arbeiten | Es sind unsere Fremden Wer nach langen Strapazen nach Deutschland kommt, muss hier leichter arbeiten",Die ZEIT (inklusive ZEIT Magazin) | Die ZEIT (inklusive ZEIT Magazin),20. März 2014 | 20. März 2014
