month,year,n_articles_kept,n_articles_excluded,n_articles_total,n_unique_sources,total_words,mean_words,median_words,n_duplicate_exact,n_duplicate_near,n_regional_variants,n_reader_letters,n_commentary_noncore,n_malformed,n_review_pending
2018-07,2018,45,5,50,8,36185,723.7,586.0,0,0,2,0,3,0,0
2018-08,2018,82,16,98,10,67368,687.429,536.5,0,0,2,0,14,0,0
2018-09,2018,45,5,50,9,27857,557.14,486.0,1,0,1,0,3,0,0
2018-10,2018,64,30,94,9,49569,527.33,466.5,25,0,0,0,5,0,0
2018-11,2018,40,50,90,9,58530,650.333,461.0,45,0,1,0,4,0,0
2018-12,2018,48,50,98,9,47357,483.235,345.0,41,0,6,0,3,0,0
2019-01,2019,42,108,150,8,77032,513.547,488.0,103,0,3,0,2,0,0
2019-02,2019,75,20,95,10,63179,665.042,527,8,0,3,0,9,0,0
2019-03,2019,76,23,99,10,64821,654.758,517,15,0,5,1,2,0,0
2019-04,2019,78,16,94,10,61545,654.734,614.5,3,0,6,1,6,0,0
2019-05,2019,54,10,64,9,49088,767,600.0,3,0,2,0,5,0,0
2019-06,2019,57,16,73,9,43434,594.986,546,6,0,1,0,9,0,0
2019-07,2019,48,2,50,8,36320,726.4,646.0,0,0,2,0,0,0,0
2019-08,2019,42,8,50,9,32279,645.58,565.5,4,0,3,0,1,0,0
2019-09,2019,42,8,50,9,32281,645.62,565.5,4,0,3,0,1,0,0
2019-10,2019,46,4,50,8,30329,606.58,512.0,3,0,0,0,1,0,0
2019-11,2019,46,4,50,9,27301,546.02,525.0,1,0,1,0,2,0,0
2019-12,2019,41,9,50,9,32457,649.14,593.5,3,0,2,0,4,0,0
2020-01,2020,41,9,50,7,30887,617.74,409.5,5,0,0,0,4,0,0
2020-02,2020,45,5,50,7,34971,699.42,592.5,1,0,1,0,3,0,0
2020-03,2020,43,7,50,8,33424,668.48,618.0,6,0,1,0,0,0,0
2020-04,2020,45,5,50,10,31007,620.14,580.0,1,0,1,0,3,0,0
2020-05,2020,44,6,50,9,29719,594.38,535.5,2,0,1,0,3,0,0
2020-06,2020,43,7,50,9,39288,785.76,600.0,1,0,2,0,4,0,0
2020-07,2020,41,9,50,9,48163,963.26,574.5,6,0,1,1,1,0,0
2020-08,2020,42,8,50,10,43700,874,538.5,5,0,2,0,1,0,0
2020-09,2020,82,17,99,10,64453,651.04,563,7,0,3,0,7,0,0
2020-10,2020,44,6,50,9,33153,663.06,572.5,2,0,1,0,3,0,0
2020-11,2020,45,3,48,8,37900,789.583,639.0,0,0,2,0,1,0,0
2020-12,2020,43,7,50,10,29996,599.92,481.0,1,0,1,0,5,0,0
2021-01,2021,43,7,50,8,39802,796.04,680.0,2,0,3,0,2,0,0
2021-02,2021,39,5,44,10,26798,609.045,456.0,1,0,0,0,4,0,0
2021-03,2021,44,6,50,9,43931,878.62,906.5,1,0,3,0,2,0,0
2021-04,2021,42,8,50,10,34772,695.44,666.0,5,0,2,0,1,0,0
2021-05,2021,41,14,55,10,47316,860.291,607,5,0,4,1,4,0,0
2021-06,2021,42,8,50,9,34944,698.88,612.5,3,0,3,0,2,0,0
2021-07,2021,43,7,50,9,37609,752.18,617.5,4,0,1,0,2,0,0
2021-08,2021,42,8,50,10,32636,652.72,541.0,3,1,2,0,2,0,0
2021-09,2021,63,12,75,10,49599,661.32,537,2,0,6,0,2,2,0
2021-10,2021,45,5,50,10,31520,630.4,576.0,2,0,1,0,2,0,0
2021-11,2021,48,2,50,10,28487,569.74,612.5,1,0,0,0,1,0,0
2021-12,2021,44,6,50,9,32077,641.54,655.0,3,0,2,0,1,0,0
2022-01,2022,44,14,58,9,37907,653.569,544.0,7,0,4,1,2,0,0
2022-02,2022,42,8,50,9,29272,585.44,530.5,6,0,2,0,0,0,0
2022-03,2022,43,7,50,7,30154,603.08,598.5,5,0,1,0,1,0,0
2022-04,2022,48,2,50,9,26115,522.3,451.5,2,0,0,0,0,0,0
2022-05,2022,43,7,50,9,25643,512.86,428.5,4,0,2,1,0,0,0
2022-06,2022,43,7,50,9,25967,519.34,410.5,6,0,1,0,0,0,0
2022-07,2022,57,21,78,10,47719,611.782,500.0,13,0,4,0,4,0,0
2022-08,2022,72,22,94,10,55584,591.319,612.0,9,1,9,2,1,0,0
2022-09,2022,42,8,50,10,26414,528.28,484.0,5,0,3,0,0,0,0
2022-10,2022,78,20,99,10,57196,577.737,500,5,1,9,0,5,0,1
2022-11,2022,43,7,50,7,24834,496.68,507.0,3,0,3,0,1,0,0
2022-12,2022,45,5,50,9,30380,607.6,538.0,2,0,2,0,1,0,0
2023-01,2023,84,16,100,10,52063,520.63,423.5,10,1,3,0,2,0,0
2023-02,2023,41,9,50,9,27763,555.26,542.0,5,0,0,0,4,0,0
2023-03,2023,43,7,50,10,24798,495.96,445.0,6,0,0,0,1,0,0
2023-04,2023,46,4,50,9,27622,552.44,500.0,3,0,0,0,1,0,0
2023-05,2023,42,8,50,9,31611,632.22,518.0,3,1,1,0,3,0,0
2023-06,2023,46,4,50,10,31608,632.16,530.0,2,0,0,1,1,0,0
2023-07,2023,41,9,50,9,31445,628.9,633.5,6,0,2,0,1,0,0
2023-08,2023,79,21,100,10,69668,696.68,653.5,14,0,2,1,4,0,0
2023-09,2023,81,19,100,10,59663,596.63,573.0,11,0,2,1,5,0,0
2023-10,2023,76,23,99,10,67219,678.98,578,11,0,6,0,6,0,0
2023-11,2023,44,6,50,10,31831,636.62,633.5,3,0,0,0,3,0,0
2023-12,2023,46,4,50,7,29792,595.84,595.0,2,0,1,0,1,0,0
2024-01,2024,42,8,50,9,31677,633.54,596.0,3,0,2,1,2,0,0
2024-02,2024,41,9,50,10,30650,613,606.0,5,0,3,0,1,0,0
2024-03,2024,41,9,50,10,32621,652.42,626.0,7,0,1,0,1,0,0
2024-04,2024,43,7,50,9,36939,738.78,678.5,2,0,1,1,3,0,0
2024-05,2024,66,16,82,10,56392,687.707,614.5,9,0,3,0,4,0,0
2024-06,2024,81,18,99,10,67753,684.374,655,5,0,4,2,7,0,0
2024-07,2024,45,5,50,8,33409,668.18,668.0,4,0,1,0,0,0,0
2024-08,2024,75,25,100,10,71334,713.34,650.5,11,0,3,1,10,0,0
2024-09,2024,42,8,50,10,38322,766.44,751.0,6,0,0,2,0,0,0
2024-10,2024,48,2,50,10,39661,793.22,753.5,2,0,0,0,0,0,0
2024-11,2024,43,7,50,9,29849,596.98,616.5,6,0,1,0,0,0,0
2024-12,2024,44,6,50,10,29905,598.1,578.5,2,0,2,0,2,0,0
2025-01,2025,78,20,98,10,74251,757.663,622.0,11,0,6,0,3,0,0
2025-02,2025,75,22,97,10,73324,755.918,726,13,0,8,0,1,0,0
2025-03,2025,81,18,99,10,70491,712.03,621,14,0,1,1,2,0,0
2025-04,2025,66,12,78,10,53820,690,642.0,10,0,1,0,1,0,0
2025-05,2025,45,5,50,9,33329,666.58,558.5,4,0,0,0,1,0,0
2025-06,2025,44,6,50,10,39775,795.5,506.5,3,1,1,0,1,0,0
2025-07,2025,73,27,100,9,71697,716.97,606.0,19,0,4,0,4,0,0
2025-08,2025,72,22,94,10,70695,752.074,635.0,19,0,0,0,3,0,0
2025-09,2025,76,23,99,10,62847,634.818,566,17,1,3,0,2,0,0
2025-10,2025,72,14,86,10,59860,696.047,644.0,9,0,1,0,4,0,0
2025-11,2025,73,10,83,10,61313,738.711,680,4,0,2,0,4,0,0
2025-12,2025,88,25,113,10,69714,616.938,517,19,0,1,0,3,2,0
